n,"Date Time, GMT-04:00",Temp,Treat
1,04/17/18 10:30:00 AM,24.062,Ctrl
2,04/17/18 10:40:00 AM,24.062,Ctrl
3,04/17/18 10:50:00 AM,23.966,Ctrl
4,04/17/18 11:00:00 AM,23.966,Ctrl
5,04/17/18 11:10:00 AM,23.966,Ctrl
6,04/17/18 11:20:00 AM,23.966,Ctrl
7,04/17/18 11:30:00 AM,23.869,Ctrl
8,04/17/18 11:40:00 AM,23.869,Ctrl
9,04/17/18 11:50:00 AM,23.869,Ctrl
10,04/17/18 12:00:00 PM,23.869,Ctrl
11,04/17/18 12:10:00 PM,23.773,Ctrl
12,04/17/18 12:20:00 PM,23.773,Ctrl
13,04/17/18 12:30:00 PM,23.773,Ctrl
14,04/17/18 12:40:00 PM,23.773,Ctrl
15,04/17/18 12:50:00 PM,23.773,Ctrl
16,04/17/18 01:00:00 PM,23.677,Ctrl
17,04/17/18 01:10:00 PM,23.677,Ctrl
18,04/17/18 01:20:00 PM,23.677,Ctrl
19,04/17/18 01:30:00 PM,23.677,Ctrl
20,04/17/18 01:40:00 PM,23.677,Ctrl
21,04/17/18 01:50:00 PM,23.581,Ctrl
22,04/17/18 02:00:00 PM,23.581,Ctrl
23,04/17/18 02:10:00 PM,23.581,Ctrl
24,04/17/18 02:20:00 PM,23.581,Ctrl
25,04/17/18 02:30:00 PM,23.581,Ctrl
26,04/17/18 02:40:00 PM,23.484,Ctrl
27,04/17/18 02:50:00 PM,23.484,Ctrl
28,04/17/18 03:00:00 PM,23.484,Ctrl
29,04/17/18 03:10:00 PM,23.484,Ctrl
30,04/17/18 03:20:00 PM,23.484,Ctrl
31,04/17/18 03:30:00 PM,23.388,Ctrl
32,04/17/18 03:40:00 PM,23.388,Ctrl
33,04/17/18 03:50:00 PM,23.388,Ctrl
34,04/17/18 04:00:00 PM,23.388,Ctrl
35,04/17/18 04:10:00 PM,23.388,Ctrl
36,04/17/18 04:20:00 PM,23.388,Ctrl
37,04/17/18 04:30:00 PM,23.388,Ctrl
38,04/17/18 04:40:00 PM,23.388,Ctrl
39,04/17/18 04:50:00 PM,23.388,Ctrl
40,04/17/18 05:00:00 PM,23.484,Ctrl
41,04/17/18 05:10:00 PM,23.484,Ctrl
42,04/17/18 05:20:00 PM,23.484,Ctrl
43,04/17/18 05:30:00 PM,23.484,Ctrl
44,04/17/18 05:40:00 PM,23.484,Ctrl
45,04/17/18 05:50:00 PM,23.581,Ctrl
46,04/17/18 06:00:00 PM,23.581,Ctrl
47,04/17/18 06:10:00 PM,23.581,Ctrl
48,04/17/18 06:20:00 PM,23.581,Ctrl
49,04/17/18 06:30:00 PM,23.677,Ctrl
50,04/17/18 06:40:00 PM,23.677,Ctrl
51,04/17/18 06:50:00 PM,23.677,Ctrl
52,04/17/18 07:00:00 PM,23.677,Ctrl
53,04/17/18 07:10:00 PM,23.677,Ctrl
54,04/17/18 07:20:00 PM,23.773,Ctrl
55,04/17/18 07:30:00 PM,23.773,Ctrl
56,04/17/18 07:40:00 PM,23.773,Ctrl
57,04/17/18 07:50:00 PM,23.773,Ctrl
58,04/17/18 08:00:00 PM,23.773,Ctrl
59,04/17/18 08:10:00 PM,23.869,Ctrl
60,04/17/18 08:20:00 PM,23.869,Ctrl
61,04/17/18 08:30:00 PM,23.869,Ctrl
62,04/17/18 08:40:00 PM,23.869,Ctrl
63,04/17/18 08:50:00 PM,23.869,Ctrl
64,04/17/18 09:00:00 PM,23.966,Ctrl
65,04/17/18 09:10:00 PM,23.966,Ctrl
66,04/17/18 09:20:00 PM,23.966,Ctrl
67,04/17/18 09:30:00 PM,23.966,Ctrl
68,04/17/18 09:40:00 PM,23.966,Ctrl
69,04/17/18 09:50:00 PM,23.966,Ctrl
70,04/17/18 10:00:00 PM,24.062,Ctrl
71,04/17/18 10:10:00 PM,24.062,Ctrl
72,04/17/18 10:20:00 PM,24.062,Ctrl
73,04/17/18 10:30:00 PM,24.062,Ctrl
74,04/17/18 10:40:00 PM,24.062,Ctrl
75,04/17/18 10:50:00 PM,24.062,Ctrl
