Date,Day,Family,Rep,ChlaConc,ChlcConc,TotChlConc,Volume,Chla,Chlc,TotChl,TotLar,Chla/Lar,Chlc/Lar,TotChl/Lar,AveVol,Chla/Vol,Chlc/Vol,TotChl/Vol,Origin
13-Apr,1,1,1,0.989243467,0.365573383,1.462740133,106.8,0.105651202,0.039043237,0.156220646,10,0.01056512,0.003904324,0.015622065,0.15618441,0.067645165,0.024998166,0.100023201,Inshore
13-Apr,1,1,2,0.9472532,0.306316333,1.3143039,107.2,0.101545543,0.032837111,0.140893378,10,0.010154554,0.003283711,0.014089338,0.15618441,0.06501644,0.021024577,0.09020963,Inshore
13-Apr,1,1,3,1.0534254,0.369387217,1.574987717,107.2,0.112927203,0.03959831,0.168838683,10,0.01129272,0.003959831,0.016883868,0.15618441,0.072303761,0.025353561,0.108102136,Inshore
13-Apr,1,2,1,0.644161,0.436735217,1.324156633,100,0.0644161,0.043673522,0.132415663,10,0.00644161,0.004367352,0.013241566,0.13192887,0.048826387,0.03310384,0.100368982,Inshore
13-Apr,1,2,2,0.596453933,0.2202554,0.862745533,100,0.059645393,0.02202554,0.086274553,10,0.005964539,0.002202554,0.008627455,0.13192887,0.045210266,0.016695012,0.065394749,Inshore
13-Apr,1,2,3,0.7978312,0.405549217,1.43649545,100,0.07978312,0.040554922,0.143649545,10,0.007978312,0.004055492,0.014364955,0.13192887,0.060474345,0.03073999,0.108884087,Inshore
14-Apr,2,2,1,0.749192533,0.25246825,1.01546025,111,0.083160371,0.028023976,0.112716088,10,0.008316037,0.002802398,0.011271609,0.09762217,0.085185948,0.028706569,0.115461568,Inshore
14-Apr,2,2,2,0.886618933,0.42578475,1.488102017,112.2,0.099478644,0.047773049,0.166965046,10,0.009947864,0.004777305,0.016696505,0.09762217,0.101901693,0.04893668,0.171031894,Inshore
14-Apr,2,2,3,0.7142615,0.263143533,1.03645835,110.7,0.079068748,0.029129989,0.114735939,10,0.007906875,0.002912999,0.011473594,0.09762217,0.080994663,0.029839522,0.117530618,Inshore
15-Apr,3,2,1,0.584506533,0.244928967,0.916398667,112,0.065464732,0.027432044,0.102636651,10,0.006546473,0.002743204,0.010263665,0.064588789,0.101356184,0.042471836,0.158907842,Inshore
15-Apr,3,2,2,0.6601783,0.2903226,1.09304375,114,0.075260326,0.033096776,0.124606988,10,0.007526033,0.003309678,0.012460699,0.064588789,0.116522275,0.051242293,0.192923554,Inshore
15-Apr,3,2,3,0.646072267,0.288727133,1.046040417,109.7,0.070874128,0.031673367,0.114750634,10,0.007087413,0.003167337,0.011475063,0.064588789,0.109731315,0.04903849,0.177663392,Inshore
13-Apr,1,3,1,1.1225758,0.389845533,1.593672567,101.9,0.114390474,0.03972526,0.162395235,10,0.011439047,0.003972526,0.016239523,0.116582744,0.098119559,0.034074734,0.139296116,Inshore
13-Apr,1,3,2,1.065164767,0.3854851,1.5564253,103.5,0.110244553,0.039897708,0.161090019,10,0.011024455,0.003989771,0.016109002,0.116582744,0.094563354,0.034222653,0.138176554,Inshore
