Date,Day,Family,Origin,Nlarvae
13/04/18,1,1,inshore,100
13/04/18,1,31,offshore,36
13/04/18,1,2,inshore,60
13/04/18,1,3,inshore,120
13/04/18,1,4,inshore,270
13/04/18,1,30,offshore,70
13/04/18,1,27,offshore,70
13/04/18,1,26,offshore,420
13/04/18,1,28,offshore,60
13/04/18,1,29,offshore,420
14/04/18,2,1,inshore,15
14/04/18,2,2,inshore,200
14/04/18,2,3,inshore,25
14/04/18,2,4,inshore,300
14/04/18,2,12,inshore,40
14/04/18,2,26,offshore,350
14/04/18,2,27,offshore,200
14/04/18,2,28,offshore,150
14/04/18,2,29,offshore,50
14/04/18,2,30,offshore,30
14/04/18,2,31,offshore,23
15/04/18,3,2,inshore,100
15/04/18,3,3,inshore,50
15/04/18,3,4,inshore,300
15/04/18,3,7,inshore,8
15/04/18,3,12,inshore,15
15/04/18,3,15,inshore,30
15/04/18,3,26,offshore,500
15/04/18,3,27,offshore,100
15/04/18,3,28,offshore,200
15/04/18,3,29,offshore,25
15/04/18,3,30,offshore,50
15/04/18,3,31,offshore,50
15/04/18,3,33,offshore,12
15/04/18,3,35,offshore,13
15/04/18,3,37,offshore,10
15/04/18,3,38,offshore,12
15/04/18,3,39,offshore,100
15/04/18,3,41,offshore,100
16/04/18,4,3,inshore,70
16/04/18,4,4,inshore,70
16/04/18,4,14,inshore,70
16/04/18,4,15,inshore,200
16/04/18,4,29,offshore,15
16/04/18,4,30,offshore,30
16/04/18,4,31,offshore,200
16/04/18,4,35,offshore,200
16/04/18,4,37,offshore,10
16/04/18,4,40,offshore,15
17/04/18,5,1,inshore,15
17/04/18,5,3,inshore,15
17/04/18,5,4,inshore,150
17/04/18,5,29,offshore,20
17/04/18,5,31,offshore,150
17/04/18,5,40,offshore,70
