n,"Date Time, GMT-04:00",Temp,Treat
1,04/17/18 10:30:00 AM,24.448,Heat
2,04/17/18 10:40:00 AM,24.448,Heat
3,04/17/18 10:50:00 AM,24.545,Heat
4,04/17/18 11:00:00 AM,24.641,Heat
5,04/17/18 11:10:00 AM,24.641,Heat
6,04/17/18 11:20:00 AM,24.931,Heat
7,04/17/18 11:30:00 AM,25.125,Heat
8,04/17/18 11:40:00 AM,25.222,Heat
9,04/17/18 11:50:00 AM,25.513,Heat
10,04/17/18 12:00:00 PM,25.805,Heat
11,04/17/18 12:10:00 PM,26,Heat
12,04/17/18 12:20:00 PM,26.195,Heat
13,04/17/18 12:30:00 PM,26.292,Heat
14,04/17/18 12:40:00 PM,26.488,Heat
15,04/17/18 12:50:00 PM,26.683,Heat
16,04/17/18 01:00:00 PM,26.683,Heat
17,04/17/18 01:10:00 PM,26.977,Heat
18,04/17/18 01:20:00 PM,27.272,Heat
19,04/17/18 01:30:00 PM,27.468,Heat
20,04/17/18 01:40:00 PM,27.567,Heat
21,04/17/18 01:50:00 PM,27.764,Heat
22,04/17/18 02:00:00 PM,27.961,Heat
23,04/17/18 02:10:00 PM,27.961,Heat
24,04/17/18 02:20:00 PM,28.06,Heat
25,04/17/18 02:30:00 PM,28.258,Heat
26,04/17/18 02:40:00 PM,28.357,Heat
27,04/17/18 02:50:00 PM,28.555,Heat
28,04/17/18 03:00:00 PM,28.754,Heat
29,04/17/18 03:10:00 PM,28.953,Heat
30,04/17/18 03:20:00 PM,29.152,Heat
31,04/17/18 03:30:00 PM,29.252,Heat
32,04/17/18 03:40:00 PM,29.452,Heat
33,04/17/18 03:50:00 PM,29.652,Heat
34,04/17/18 04:00:00 PM,29.752,Heat
35,04/17/18 04:10:00 PM,29.953,Heat
36,04/17/18 04:20:00 PM,30.154,Heat
37,04/17/18 04:30:00 PM,30.255,Heat
38,04/17/18 04:40:00 PM,30.457,Heat
39,04/17/18 04:50:00 PM,30.659,Heat
40,04/17/18 05:00:00 PM,30.76,Heat
41,04/17/18 05:10:00 PM,30.963,Heat
42,04/17/18 05:20:00 PM,31.268,Heat
43,04/17/18 05:30:00 PM,31.778,Heat
44,04/17/18 05:40:00 PM,32.291,Heat
45,04/17/18 05:50:00 PM,32.807,Heat
46,04/17/18 06:00:00 PM,33.118,Heat
47,04/17/18 06:10:00 PM,33.535,Heat
48,04/17/18 06:20:00 PM,33.743,Heat
49,04/17/18 06:30:00 PM,34.058,Heat
50,04/17/18 06:40:00 PM,34.374,Heat
51,04/17/18 06:50:00 PM,34.585,Heat
52,04/17/18 07:00:00 PM,34.691,Heat
53,04/17/18 07:10:00 PM,34.903,Heat
54,04/17/18 07:20:00 PM,35.115,Heat
55,04/17/18 07:30:00 PM,35.222,Heat
56,04/17/18 07:40:00 PM,35.328,Heat
57,04/17/18 07:50:00 PM,35.435,Heat
58,04/17/18 08:00:00 PM,35.649,Heat
59,04/17/18 08:10:00 PM,35.649,Heat
60,04/17/18 08:20:00 PM,35.756,Heat
61,04/17/18 08:30:00 PM,35.864,Heat
62,04/17/18 08:40:00 PM,35.864,Heat
63,04/17/18 08:50:00 PM,35.971,Heat
64,04/17/18 09:00:00 PM,36.079,Heat
65,04/17/18 09:10:00 PM,36.079,Heat
66,04/17/18 09:20:00 PM,36.187,Heat
67,04/17/18 09:30:00 PM,36.079,Heat
68,04/17/18 09:40:00 PM,36.295,Heat
69,04/17/18 09:50:00 PM,36.295,Heat
70,04/17/18 10:00:00 PM,36.295,Heat
71,04/17/18 10:10:00 PM,36.295,Heat
72,04/17/18 10:20:00 PM,36.295,Heat
73,04/17/18 10:30:00 PM,36.403,Heat
74,04/17/18 10:40:00 PM,36.403,Heat
75,04/17/18 10:50:00 PM,36.403,Heat
76,04/17/18 11:00:00 PM,36.403,Heat
77,04/17/18 11:10:00 PM,36.511,Heat
78,04/17/18 11:20:00 PM,36.511,Heat
79,04/17/18 11:30:00 PM,36.511,Heat
80,04/17/18 11:40:00 PM,36.511,Heat
81,04/17/18 11:50:00 PM,36.62,Heat
82,04/18/18 12:00:00 AM,36.62,Heat
83,04/18/18 12:10:00 AM,36.62,Heat
84,04/18/18 12:20:00 AM,36.728,Heat
85,04/18/18 12:30:00 AM,36.62,Heat
86,04/18/18 12:40:00 AM,36.728,Heat
87,04/18/18 12:50:00 AM,36.728,Heat
88,04/18/18 01:00:00 AM,36.728,Heat
89,04/18/18 01:10:00 AM,36.837,Heat
90,04/18/18 01:20:00 AM,36.837,Heat
91,04/18/18 01:30:00 AM,36.837,Heat
92,04/18/18 01:40:00 AM,36.837,Heat
93,04/18/18 01:50:00 AM,36.837,Heat
94,04/18/18 02:00:00 AM,36.837,Heat
95,04/18/18 02:10:00 AM,36.946,Heat
96,04/18/18 02:20:00 AM,36.946,Heat
97,04/18/18 02:30:00 AM,36.946,Heat
98,04/18/18 02:40:00 AM,36.946,Heat
99,04/18/18 02:50:00 AM,36.946,Heat
100,04/18/18 03:00:00 AM,36.946,Heat
101,04/18/18 03:10:00 AM,37.055,Heat
102,04/18/18 03:20:00 AM,36.946,Heat
103,04/18/18 03:30:00 AM,37.055,Heat
104,04/18/18 03:40:00 AM,37.055,Heat
105,04/18/18 03:50:00 AM,37.055,Heat
106,04/18/18 04:00:00 AM,37.165,Heat
107,04/18/18 04:10:00 AM,37.055,Heat
108,04/18/18 04:20:00 AM,37.165,Heat
109,04/18/18 04:30:00 AM,37.165,Heat
110,04/18/18 04:40:00 AM,37.165,Heat
111,04/18/18 04:50:00 AM,37.274,Heat
112,04/18/18 05:00:00 AM,37.165,Heat
113,04/18/18 05:10:00 AM,37.274,Heat
114,04/18/18 05:20:00 AM,37.274,Heat
115,04/18/18 05:30:00 AM,37.274,Heat
116,04/18/18 05:40:00 AM,37.274,Heat
117,04/18/18 05:50:00 AM,37.274,Heat
118,04/18/18 06:00:00 AM,37.274,Heat
119,04/18/18 06:10:00 AM,37.274,Heat
120,04/18/18 06:20:00 AM,37.384,Heat
121,04/18/18 06:30:00 AM,37.384,Heat
122,04/18/18 06:40:00 AM,37.384,Heat
123,04/18/18 06:50:00 AM,37.384,Heat
124,04/18/18 07:00:00 AM,37.384,Heat
125,04/18/18 07:10:00 AM,37.494,Heat
126,04/18/18 07:20:00 AM,37.494,Heat
127,04/18/18 07:30:00 AM,37.384,Heat
128,04/18/18 07:40:00 AM,37.494,Heat
129,04/18/18 07:50:00 AM,37.384,Heat
130,04/18/18 08:00:00 AM,37.274,Heat
131,04/18/18 08:10:00 AM,37.274,Heat
132,04/18/18 08:20:00 AM,37.055,Heat
133,04/18/18 08:30:00 AM,37.055,Heat
134,04/18/18 08:40:00 AM,37.165,Heat
135,04/18/18 08:50:00 AM,37.165,Heat
136,04/18/18 09:00:00 AM,37.055,Heat
137,04/18/18 09:10:00 AM,37.165,Heat
138,04/18/18 09:20:00 AM,37.055,Heat
139,04/18/18 09:30:00 AM,37.055,Heat
140,04/18/18 09:40:00 AM,37.165,Heat
141,04/18/18 09:50:00 AM,37.055,Heat
142,04/18/18 10:00:00 AM,37.055,Heat
143,04/18/18 10:10:00 AM,37.165,Heat
144,04/18/18 10:20:00 AM,37.055,Heat
145,04/18/18 10:30:00 AM,37.055,Heat
146,04/18/18 10:40:00 AM,37.165,Heat
147,04/18/18 10:50:00 AM,37.055,Heat
148,04/18/18 11:00:00 AM,37.165,Heat
149,04/18/18 11:10:00 AM,37.165,Heat
150,04/18/18 11:20:00 AM,37.055,Heat
151,04/18/18 11:30:00 AM,37.165,Heat
152,04/18/18 11:40:00 AM,37.165,Heat
153,04/18/18 11:50:00 AM,37.055,Heat
154,04/18/18 12:00:00 PM,37.165,Heat
155,04/18/18 12:10:00 PM,37.165,Heat
156,04/18/18 12:20:00 PM,37.165,Heat
157,04/18/18 12:30:00 PM,37.165,Heat
158,04/18/18 12:40:00 PM,37.165,Heat
159,04/18/18 12:50:00 PM,37.165,Heat
160,04/18/18 01:00:00 PM,37.165,Heat
161,04/18/18 01:10:00 PM,37.165,Heat
162,04/18/18 01:20:00 PM,37.165,Heat
163,04/18/18 01:30:00 PM,37.165,Heat
164,04/18/18 01:40:00 PM,37.274,Heat
165,04/18/18 01:50:00 PM,37.165,Heat
166,04/18/18 02:00:00 PM,37.274,Heat
167,04/18/18 02:10:00 PM,37.165,Heat
168,04/18/18 02:20:00 PM,37.055,Heat
169,04/18/18 02:30:00 PM,37.165,Heat
170,04/18/18 02:40:00 PM,37.165,Heat
171,04/18/18 02:50:00 PM,37.165,Heat
172,04/18/18 03:00:00 PM,37.165,Heat
173,04/18/18 03:10:00 PM,37.165,Heat
174,04/18/18 03:20:00 PM,37.055,Heat
175,04/18/18 03:30:00 PM,37.055,Heat
176,04/18/18 03:40:00 PM,37.165,Heat
177,04/18/18 03:50:00 PM,37.165,Heat
178,04/18/18 04:00:00 PM,36.946,Heat
179,04/18/18 04:10:00 PM,37.165,Heat
180,04/18/18 04:20:00 PM,37.165,Heat
181,04/18/18 04:30:00 PM,37.274,Heat
182,04/18/18 04:40:00 PM,37.274,Heat
183,04/18/18 04:50:00 PM,37.384,Heat
184,04/18/18 05:00:00 PM,37.494,Heat
185,04/18/18 05:10:00 PM,37.494,Heat
186,04/18/18 05:20:00 PM,37.604,Heat
187,04/18/18 05:30:00 PM,37.494,Heat
188,04/18/18 05:40:00 PM,37.494,Heat
189,04/18/18 05:50:00 PM,37.384,Heat
190,04/18/18 06:00:00 PM,37.384,Heat
191,04/18/18 06:10:00 PM,37.494,Heat
192,04/18/18 06:20:00 PM,37.494,Heat
193,04/18/18 06:30:00 PM,37.604,Heat
194,04/18/18 06:40:00 PM,37.714,Heat
195,04/18/18 06:50:00 PM,37.714,Heat
196,04/18/18 07:00:00 PM,37.714,Heat
197,04/18/18 07:10:00 PM,37.824,Heat
198,04/18/18 07:20:00 PM,37.824,Heat
199,04/18/18 07:30:00 PM,37.824,Heat
200,04/18/18 07:40:00 PM,37.935,Heat
201,04/18/18 07:50:00 PM,37.935,Heat
202,04/18/18 08:00:00 PM,37.824,Heat
203,04/18/18 08:10:00 PM,37.824,Heat
204,04/18/18 08:20:00 PM,37.935,Heat
205,04/18/18 08:30:00 PM,37.935,Heat
206,04/18/18 08:40:00 PM,37.824,Heat
207,04/18/18 08:50:00 PM,37.824,Heat
208,04/18/18 09:00:00 PM,37.935,Heat
209,04/18/18 09:10:00 PM,37.824,Heat
210,04/18/18 09:20:00 PM,37.824,Heat
211,04/18/18 09:30:00 PM,37.824,Heat
212,04/18/18 09:40:00 PM,37.935,Heat
213,04/18/18 09:50:00 PM,37.935,Heat
214,04/18/18 10:00:00 PM,37.824,Heat
215,04/18/18 10:10:00 PM,37.935,Heat
216,04/18/18 10:20:00 PM,37.935,Heat
217,04/18/18 10:30:00 PM,37.935,Heat
218,04/18/18 10:40:00 PM,37.935,Heat
219,04/18/18 10:50:00 PM,37.935,Heat
220,04/18/18 11:00:00 PM,37.935,Heat
221,04/18/18 11:10:00 PM,38.046,Heat
222,04/18/18 11:20:00 PM,37.935,Heat
223,04/18/18 11:30:00 PM,37.935,Heat
224,04/18/18 11:40:00 PM,38.046,Heat
225,04/18/18 11:50:00 PM,37.935,Heat
226,04/19/18 12:00:00 AM,37.935,Heat
227,04/19/18 12:10:00 AM,38.046,Heat
228,04/19/18 12:20:00 AM,37.935,Heat
229,04/19/18 12:30:00 AM,38.046,Heat
230,04/19/18 12:40:00 AM,38.046,Heat
231,04/19/18 12:50:00 AM,38.046,Heat
232,04/19/18 01:00:00 AM,38.046,Heat
233,04/19/18 01:10:00 AM,38.046,Heat
234,04/19/18 01:20:00 AM,38.046,Heat
235,04/19/18 01:30:00 AM,37.935,Heat
236,04/19/18 01:40:00 AM,38.046,Heat
237,04/19/18 01:50:00 AM,38.046,Heat
238,04/19/18 02:00:00 AM,37.935,Heat
239,04/19/18 02:10:00 AM,38.046,Heat
240,04/19/18 02:20:00 AM,38.046,Heat
241,04/19/18 02:30:00 AM,38.046,Heat
242,04/19/18 02:40:00 AM,37.935,Heat
243,04/19/18 02:50:00 AM,38.046,Heat
244,04/19/18 03:00:00 AM,38.046,Heat
245,04/19/18 03:10:00 AM,37.935,Heat
246,04/19/18 03:20:00 AM,38.046,Heat
247,04/19/18 03:30:00 AM,37.935,Heat
248,04/19/18 03:40:00 AM,38.046,Heat
249,04/19/18 03:50:00 AM,37.935,Heat
250,04/19/18 04:00:00 AM,37.935,Heat
251,04/19/18 04:10:00 AM,37.935,Heat
252,04/19/18 04:20:00 AM,38.046,Heat
253,04/19/18 04:30:00 AM,37.824,Heat
254,04/19/18 04:40:00 AM,37.935,Heat
255,04/19/18 04:50:00 AM,37.935,Heat
256,04/19/18 05:00:00 AM,38.046,Heat
257,04/19/18 05:10:00 AM,38.046,Heat
258,04/19/18 05:20:00 AM,37.935,Heat
259,04/19/18 05:30:00 AM,38.046,Heat
260,04/19/18 05:40:00 AM,38.046,Heat
261,04/19/18 05:50:00 AM,38.046,Heat
262,04/19/18 06:00:00 AM,38.046,Heat
263,04/19/18 06:10:00 AM,38.046,Heat
264,04/19/18 06:20:00 AM,38.046,Heat
265,04/19/18 06:30:00 AM,37.935,Heat
266,04/19/18 06:40:00 AM,37.935,Heat
267,04/19/18 06:50:00 AM,38.046,Heat
268,04/19/18 07:00:00 AM,38.046,Heat
269,04/19/18 07:10:00 AM,37.824,Heat
270,04/19/18 07:20:00 AM,37.935,Heat
271,04/19/18 07:30:00 AM,37.824,Heat
272,04/19/18 07:40:00 AM,37.935,Heat
273,04/19/18 07:50:00 AM,37.935,Heat
274,04/19/18 08:00:00 AM,37.935,Heat
275,04/19/18 08:10:00 AM,38.046,Heat
276,04/19/18 08:20:00 AM,37.824,Heat
277,04/19/18 08:30:00 AM,37.714,Heat
278,04/19/18 08:40:00 AM,37.714,Heat
279,04/19/18 08:50:00 AM,37.714,Heat
280,04/19/18 09:00:00 AM,37.604,Heat
281,04/19/18 09:10:00 AM,37.604,Heat
282,04/19/18 09:20:00 AM,37.714,Heat
283,04/19/18 09:30:00 AM,37.604,Heat
284,04/19/18 09:40:00 AM,37.604,Heat
285,04/19/18 09:50:00 AM,37.494,Heat
