Date,Day,Family,Rep,Length,Width,Origin
13-Apr,1,1,1,0.725,0.632,inshore
13-Apr,1,1,2,0.667,0.555,inshore
13-Apr,1,1,3,0.711,0.55,inshore
13-Apr,1,1,4,0.767,0.663,inshore
13-Apr,1,1,5,0.783,0.672,inshore
13-Apr,1,1,6,0.852,0.584,inshore
13-Apr,1,1,7,0.739,0.716,inshore
13-Apr,1,1,8,0.676,0.663,inshore
13-Apr,1,1,9,0.716,0.667,inshore
14-Apr,2,1,1,1.538,0.192,inshore
14-Apr,2,1,2,1.529,0.447,inshore
14-Apr,2,1,3,1.529,0.368,inshore
14-Apr,2,1,4,1.467,0.457,inshore
14-Apr,2,1,5,1.588,0.479,inshore
14-Apr,2,1,6,1.308,0.284,inshore
14-Apr,2,1,7,1.125,0.555,inshore
14-Apr,2,1,8,1.711,0.401,inshore
17-Apr,5,1,1,0.95,0.361,inshore
17-Apr,5,1,2,1.38,0.361,inshore
17-Apr,5,1,3,1.393,0.407,inshore
17-Apr,5,1,4,0.656,0.389,inshore
17-Apr,5,1,5,0.793,0.344,inshore
17-Apr,5,1,6,1.242,0.37,inshore
17-Apr,5,1,7,1.29,0.294,inshore
17-Apr,5,1,8,1.634,0.317,inshore
13-Apr,1,2,1,0.733,0.646,inshore
13-Apr,1,2,2,0.65,0.586,inshore
13-Apr,1,2,3,0.672,0.46,inshore
13-Apr,1,2,4,0.641,0.61,inshore
13-Apr,1,2,5,0.776,0.597,inshore
13-Apr,1,2,6,0.682,0.662,inshore
13-Apr,1,2,7,0.581,0.449,inshore
13-Apr,1,2,8,0.625,0.562,inshore
14-Apr,2,2,1,0.651,0.579,inshore
14-Apr,2,2,2,0.597,0.475,inshore
14-Apr,2,2,3,0.646,0.55,inshore
14-Apr,2,2,4,0.629,0.557,inshore
14-Apr,2,2,5,0.673,0.618,inshore
14-Apr,2,2,6,0.531,0.486,inshore
14-Apr,2,2,7,0.767,0.496,inshore
14-Apr,2,2,8,0.637,0.547,inshore
14-Apr,2,2,9,0.647,0.518,inshore
15-Apr,3,2,1,0.643,0.444,inshore
15-Apr,3,2,2,0.411,0.263,inshore
15-Apr,3,2,3,0.614,0.381,inshore
15-Apr,3,2,4,0.544,0.411,inshore
15-Apr,3,2,5,0.548,0.516,inshore
15-Apr,3,2,6,0.613,0.542,inshore
15-Apr,3,2,7,0.698,0.581,inshore
15-Apr,3,2,8,0.509,0.468,inshore
15-Apr,3,2,9,0.516,0.513,inshore
15-Apr,3,2,10,0.571,0.395,inshore
