Family,Rep,Origin,Treatment,tod,dead
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,1,Inshore,Ctrl,48,0
2,2,Inshore,Heat,24,1
2,2,Inshore,Heat,44,1
2,2,Inshore,Heat,44,1
2,2,Inshore,Heat,48,1
2,2,Inshore,Heat,48,1
2,2,Inshore,Heat,48,1
2,2,Inshore,Heat,48,1
2,2,Inshore,Heat,48,1
2,2,Inshore,Heat,48,0
2,2,Inshore,Heat,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,3,Inshore,Ctrl,48,0
2,4,Inshore,Heat,44,1
2,4,Inshore,Heat,44,1
2,4,Inshore,Heat,44,1
2,4,Inshore,Heat,48,1
2,4,Inshore,Heat,48,1
2,4,Inshore,Heat,48,1
2,4,Inshore,Heat,48,1
2,4,Inshore,Heat,48,1
2,4,Inshore,Heat,48,1
2,4,Inshore,Heat,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,5,Inshore,Ctrl,48,0
2,6,Inshore,Heat,24,1
2,6,Inshore,Heat,44,1
2,6,Inshore,Heat,48,1
2,6,Inshore,Heat,48,1
2,6,Inshore,Heat,48,1
2,6,Inshore,Heat,48,1
2,6,Inshore,Heat,48,1
2,6,Inshore,Heat,48,0
2,6,Inshore,Heat,48,0
2,6,Inshore,Heat,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,7,Inshore,Ctrl,48,0
3,8,Inshore,Heat,44,1
3,8,Inshore,Heat,44,1
3,8,Inshore,Heat,44,1
3,8,Inshore,Heat,44,1
3,8,Inshore,Heat,44,1
3,8,Inshore,Heat,44,1
3,8,Inshore,Heat,48,1
3,8,Inshore,Heat,48,1
3,8,Inshore,Heat,48,0
3,8,Inshore,Heat,48,0
3,9,Inshore,Ctrl,24,1
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,9,Inshore,Ctrl,48,0
3,10,Inshore,Heat,44,1
3,10,Inshore,Heat,44,1
3,10,Inshore,Heat,44,1
3,10,Inshore,Heat,44,1
3,10,Inshore,Heat,44,1
3,10,Inshore,Heat,44,1
3,10,Inshore,Heat,48,1
3,10,Inshore,Heat,48,1
3,10,Inshore,Heat,48,0
3,10,Inshore,Heat,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,11,Inshore,Ctrl,48,0
3,12,Inshore,Heat,44,1
3,12,Inshore,Heat,44,1
3,12,Inshore,Heat,44,1
3,12,Inshore,Heat,44,1
3,12,Inshore,Heat,44,1
3,12,Inshore,Heat,48,1
3,12,Inshore,Heat,48,1
3,12,Inshore,Heat,48,1
3,12,Inshore,Heat,48,1
3,12,Inshore,Heat,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,13,Inshore,Ctrl,48,0
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,44,1
4,14,Inshore,Heat,48,1
4,14,Inshore,Heat,48,0
4,14,Inshore,Heat,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,15,Inshore,Ctrl,48,0
4,16,Inshore,Heat,44,1
4,16,Inshore,Heat,44,1
4,16,Inshore,Heat,44,1
4,16,Inshore,Heat,44,1
4,16,Inshore,Heat,44,1
4,16,Inshore,Heat,48,1
4,16,Inshore,Heat,48,1
4,16,Inshore,Heat,48,1
4,16,Inshore,Heat,48,0
4,16,Inshore,Heat,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,17,Inshore,Ctrl,48,0
4,18,Inshore,Heat,24,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,44,1
4,18,Inshore,Heat,48,1
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,19,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,20,Offshore,Ctrl,48,0
26,21,Offshore,Heat,44,1
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,21,Offshore,Heat,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,22,Offshore,Ctrl,48,0
26,23,Offshore,Heat,44,1
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
26,23,Offshore,Heat,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,24,Offshore,Ctrl,48,0
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,25,Offshore,Heat,44,1
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,26,Offshore,Ctrl,48,0
27,27,Offshore,Heat,24,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,27,Offshore,Heat,44,1
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,28,Offshore,Ctrl,48,0
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
27,29,Offshore,Heat,44,1
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,30,Offshore,Ctrl,48,0
28,31,Offshore,Heat,44,1
28,31,Offshore,Heat,44,1
28,31,Offshore,Heat,44,1
28,31,Offshore,Heat,48,0
28,31,Offshore,Heat,48,0
28,31,Offshore,Heat,48,0
28,31,Offshore,Heat,48,0
28,31,Offshore,Heat,48,0
28,31,Offshore,Heat,48,0
28,31,Offshore,Heat,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,32,Offshore,Ctrl,48,0
28,33,Offshore,Heat,48,1
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,33,Offshore,Heat,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,34,Offshore,Ctrl,48,0
28,35,Offshore,Heat,48,1
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
28,35,Offshore,Heat,48,0
