Family,Rep,Origin,Treatment,tod,dead
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,1,Inshore,Ctrl,46,0
3,2,Inshore,Heat,31,1
3,2,Inshore,Heat,31,1
3,2,Inshore,Heat,31,1
3,2,Inshore,Heat,35,1
3,2,Inshore,Heat,35,1
3,2,Inshore,Heat,46,1
3,2,Inshore,Heat,46,1
3,2,Inshore,Heat,46,1
3,2,Inshore,Heat,46,0
3,2,Inshore,Heat,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,3,Inshore,Ctrl,46,0
3,4,Inshore,Heat,31,1
3,4,Inshore,Heat,31,1
3,4,Inshore,Heat,31,1
3,4,Inshore,Heat,31,1
3,4,Inshore,Heat,35,1
3,4,Inshore,Heat,35,1
3,4,Inshore,Heat,46,1
3,4,Inshore,Heat,46,1
3,4,Inshore,Heat,46,1
3,4,Inshore,Heat,46,0
3,5,Inshore,Heat,31,1
3,5,Inshore,Heat,31,1
3,5,Inshore,Heat,31,1
3,5,Inshore,Heat,35,1
3,5,Inshore,Heat,46,1
3,5,Inshore,Heat,46,1
3,5,Inshore,Heat,46,1
3,5,Inshore,Heat,46,1
3,5,Inshore,Heat,46,1
3,5,Inshore,Heat,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,6,Inshore,Ctrl,46,0
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,31,1
4,7,Inshore,Heat,35,1
4,7,Inshore,Heat,35,1
4,7,Inshore,Heat,46,1
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,8,Inshore,Ctrl,46,0
4,9,Inshore,Heat,22,1
4,9,Inshore,Heat,31,1
4,9,Inshore,Heat,31,1
4,9,Inshore,Heat,31,1
4,9,Inshore,Heat,31,1
4,9,Inshore,Heat,35,1
4,9,Inshore,Heat,35,1
4,9,Inshore,Heat,35,1
4,9,Inshore,Heat,35,1
4,9,Inshore,Heat,35,1
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,10,Inshore,Ctrl,46,0
4,11,Inshore,Heat,31,1
4,11,Inshore,Heat,31,1
4,11,Inshore,Heat,31,1
4,11,Inshore,Heat,31,1
4,11,Inshore,Heat,31,1
