Date,Day,Family,Rep,Conc,Volume,TotalCont,TotLar,Prt/Lar,AveVol,Prt/Vol,Origin
13-Apr,1,1,1,609.6111111,106.8,65.10646667,10,6.510646667,0.15618441,41.6856,Inshore
13-Apr,1,1,2,651.5,107.2,69.8408,10,6.98408,0.15618441,44.7169,Inshore
13-Apr,1,1,3,635.8333333,107.2,68.16133333,10,6.816133333,0.15618441,43.6416,Inshore
13-Apr,1,2,1,452.8333333,100,45.28333333,10,4.528333333,0.13192887,34.3241,Inshore
13-Apr,1,2,2,486.1666667,100,48.61666667,10,4.861666667,0.13192887,36.8507,Inshore
13-Apr,1,2,3,470.8333333,100,47.08333333,10,4.708333333,0.13192887,35.6884,Inshore
14-Apr,2,2,1,458.8055556,111,50.92741667,10,5.092741667,0.09762217,52.1679,Inshore
14-Apr,2,2,2,532.9166667,112.2,59.79325,10,5.979325,0.09762217,61.2497,Inshore
14-Apr,2,2,3,414.75,110.7,45.912825,10,4.5912825,0.09762217,47.0311,Inshore
15-Apr,3,2,1,410.1944444,112,45.94177778,10,4.594177778,0.064588789,71.1296,Inshore
15-Apr,3,2,2,418.75,114,47.7375,10,4.77375,0.064588789,73.9099,Inshore
15-Apr,3,2,3,408.0833333,109.7,44.76674166,10,4.476674166,0.064588789,69.3104,Inshore
13-Apr,1,3,1,627.8333333,101.9,63.97621667,10,6.397621667,0.116582744,54.8762,Inshore
13-Apr,1,3,2,688.3333333,103.5,71.2425,10,7.12425,0.116582744,61.109,Inshore
13-Apr,1,3,3,694.5416667,106.3,73.82977917,10,7.382977917,0.116582744,63.3282,Inshore
15-Apr,3,3,1,660.4722222,111.9,73.90684167,10,7.390684167,0.105798069,69.8565,Inshore
15-Apr,3,3,2,665,111.7,74.2805,10,7.42805,0.105798069,70.2097,Inshore
15-Apr,3,3,3,505.1666667,117.2,59.20553334,10,5.920553334,0.105798069,55.9609,Inshore
16-Apr,4,3,1,610.0740741,116.6,71.13463704,10,7.113463704,0.084756838,83.9279,Inshore
16-Apr,4,3,2,493.5277778,113.6,56.06475556,10,5.606475556,0.084756838,66.1478,Inshore
