Date,Family,Trmt,Rep,Conc,Volume,TotalCont,TotLar,Prt/Lar,Origin
20-Apr,2,Control,A,317.1388889,114.9,36.43925833,9,4.048806482,Inshore
20-Apr,2,Control,B,256.3055556,116,29.73144445,6,4.955240742,Inshore
20-Apr,2,Control,C,457.4166667,116.1,53.106075,10,5.3106075,Inshore
20-Apr,2,Heat,D,444.8888889,117.2,52.14097778,11,4.740088889,Inshore
20-Apr,2,Heat,E,418.962963,118,49.43762963,10,4.943762963,Inshore
20-Apr,2,Heat,F,452.6944444,123.4,55.86249444,10,5.586249444,Inshore
20-Apr,4,Control,A,427.1111111,121.4,51.85128889,10,5.185128889,Inshore
20-Apr,4,Control,B,477.8518519,117.2,56.00423704,10,5.600423704,Inshore
20-Apr,4,Control,C,451.8611111,116.7,52.73219167,10,5.273219167,Inshore
20-Apr,4,Heat,D,402.9722222,112,45.13288889,10,4.513288889,Inshore
20-Apr,4,Heat,E,508.5277778,120.8,61.43015556,10,6.143015556,Inshore
20-Apr,4,Heat,F,471.9166667,118.2,55.78055,10,5.578055,Inshore
20-Apr,15,Control,A,626.8611111,120.4,75.47407778,10,7.547407778,Inshore
20-Apr,15,Control,B,601.9259259,118.8,71.5088,10,7.15088,Inshore
20-Apr,15,Control,C,586,122.2,71.6092,10,7.16092,Inshore
20-Apr,15,Heat,D,442.1388889,126.2,55.79792778,10,5.579792778,Inshore
20-Apr,15,Heat,E,443.7777778,124.5,55.25033334,10,5.525033334,Inshore
20-Apr,15,Heat,F,575.6296296,117.2,67.46379259,10,6.746379259,Inshore
20-Apr,26,Control,A,404.6388889,111.2,44.99584445,10,4.499584445,Offshore
20-Apr,26,Control,B,440.1944444,116.6,51.32667222,10,5.132667222,Offshore
20-Apr,26,Control,C,377.6944444,125.5,47.40065277,10,4.740065277,Offshore
20-Apr,26,Heat,D,237.75,105,24.96375,9,2.77375,Offshore
20-Apr,26,Heat,E,359.1388889,105,37.70958333,10,3.770958333,Offshore
20-Apr,26,Heat,F,493.5833333,113.2,55.87363333,10,5.587363333,Offshore
20-Apr,27,Control,A,368.2222222,117.4,43.22928889,10,4.322928889,Offshore
20-Apr,27,Control,B,366.7407407,132.2,48.48312592,10,4.848312592,Offshore
20-Apr,27,Control,C,462.2962963,121.8,56.30768889,9,6.256409877,Offshore
20-Apr,27,Heat,D,231.1851852,116.1,26.8406,10,2.68406,Offshore
20-Apr,27,Heat,E,190.8148148,126.8,24.19531852,7,3.456474074,Offshore
20-Apr,27,Heat,F,277.4814815,119.4,33.13128889,9,3.681254321,Offshore
20-Apr,28,Control,A,315.75,115.2,36.3744,10,3.63744,Offshore
20-Apr,28,Control,B,282.1388889,118.8,33.5181,10,3.35181,Offshore
20-Apr,28,Control,C,277.9722222,105,29.18708333,10,2.918708333,Offshore
20-Apr,28,Heat,D,233.8611111,123.8,28.95200555,10,2.895200555,Offshore
20-Apr,28,Heat,E,349.1388889,119,41.54752778,10,4.154752778,Offshore
20-Apr,28,Heat,F,359.1388889,123.2,44.24591111,10,4.424591111,Offshore
20-Apr,29,Control,A,505.75,108.2,54.72215,10,5.472215,Offshore
20-Apr,29,Control,B,485.75,109.4,53.14105,7,7.591578571,Offshore
20-Apr,29,Heat,D,565.2592593,131.7,74.44464445,10,7.444464445,Offshore
20-Apr,29,Heat,E,607.4814815,121.8,73.99124445,10,7.399124445,Offshore
20-Apr,29,Heat,F,618.962963,110,68.08592593,10,6.808592593,Offshore
