Family,Origin,HR_acuteStress1,HR_acuteStress2,Vol_dailyRel,Symbiont_dailyRel,Chla_dailyRel,Protein_dailyRel,diffChla_HminusC,CumulativeFec
2,inshore,0.8437444,0.7458576,0.09139384,4342.921,0.007523906,4.845143,0.00240059,360
3,inshore,0.7548047,1.0276262,0.08489305,14224.256,0.014387238,6.739937,NA,265
4,inshore,1.7974714,1.3046949,0.07688607,6491.709,0.007128073,5.276566,0.00207268,940
14,inshore,0.780957,NA,0.06594804,4247.379,0.006190664,5.544014,NA,70
15,inshore,0.943792,NA,0.08203199,6844.173,0.008591005,5.162442,-0.02008056,230
26,offshore,0.5767322,0.2700261,0.05801761,6233.057,0.008321777,4.793014,-0.02009507,1270
27,offshore,3.4466989,9.8747908,0.0705526,1795.797,0.003631671,4.265208,-0.04012762,370
28,offshore,0.5630795,0.3750302,0.04244125,3919.482,0.004841613,3.508024,-0.00488453,410
29,offshore,1.3706804,NA,0.08300752,12302.016,0.01172494,6.823038,-0.0462186,510
31,offshore,0.4525081,NA,0.07875743,8002.082,0.009743487,6.470713,NA,309
35,offshore,0.7616936,NA,0.07347917,7778.569,0.005511969,4.686359,NA,213
39,offshore,2.287997,NA,0.06822588,2811.512,0.003664277,5.072609,NA,100
41,offshore,0.8265222,NA,0.07416311,2052.671,0.006071396,5.922704,NA,100
