n,"Date Time, GMT-04:00",Temp,Treat,Rep
1,04/16/18 11:00:00 AM,25.805,Ctrl,A
2,04/16/18 11:10:00 AM,25.708,Ctrl,A
3,04/16/18 11:20:00 AM,25.708,Ctrl,A
4,04/16/18 11:30:00 AM,25.61,Ctrl,A
5,04/16/18 11:40:00 AM,25.61,Ctrl,A
6,04/16/18 11:50:00 AM,25.61,Ctrl,A
7,04/16/18 12:00:00 PM,25.513,Ctrl,A
8,04/16/18 12:10:00 PM,25.513,Ctrl,A
9,04/16/18 12:20:00 PM,25.513,Ctrl,A
10,04/16/18 12:30:00 PM,25.416,Ctrl,A
11,04/16/18 12:40:00 PM,25.416,Ctrl,A
12,04/16/18 12:50:00 PM,25.416,Ctrl,A
13,04/16/18 01:00:00 PM,25.319,Ctrl,A
14,04/16/18 01:10:00 PM,25.319,Ctrl,A
15,04/16/18 01:20:00 PM,25.319,Ctrl,A
16,04/16/18 01:30:00 PM,25.319,Ctrl,A
17,04/16/18 01:40:00 PM,25.222,Ctrl,A
18,04/16/18 01:50:00 PM,25.222,Ctrl,A
19,04/16/18 02:00:00 PM,25.222,Ctrl,A
20,04/16/18 02:10:00 PM,25.222,Ctrl,A
21,04/16/18 02:20:00 PM,25.125,Ctrl,A
22,04/16/18 02:30:00 PM,25.125,Ctrl,A
23,04/16/18 02:40:00 PM,25.125,Ctrl,A
24,04/16/18 02:50:00 PM,25.125,Ctrl,A
25,04/16/18 03:00:00 PM,25.028,Ctrl,A
26,04/16/18 03:10:00 PM,25.028,Ctrl,A
27,04/16/18 03:20:00 PM,25.028,Ctrl,A
28,04/16/18 03:30:00 PM,24.931,Ctrl,A
29,04/16/18 03:40:00 PM,24.931,Ctrl,A
30,04/16/18 03:50:00 PM,24.931,Ctrl,A
31,04/16/18 04:00:00 PM,24.931,Ctrl,A
32,04/16/18 04:10:00 PM,24.931,Ctrl,A
33,04/16/18 04:20:00 PM,24.931,Ctrl,A
34,04/16/18 04:30:00 PM,24.931,Ctrl,A
35,04/16/18 04:40:00 PM,24.931,Ctrl,A
36,04/16/18 04:50:00 PM,24.931,Ctrl,A
37,04/16/18 05:00:00 PM,24.931,Ctrl,A
38,04/16/18 05:10:00 PM,24.931,Ctrl,A
39,04/16/18 05:20:00 PM,24.931,Ctrl,A
40,04/16/18 05:30:00 PM,24.931,Ctrl,A
41,04/16/18 05:40:00 PM,24.931,Ctrl,A
42,04/16/18 05:50:00 PM,24.931,Ctrl,A
43,04/16/18 06:00:00 PM,24.931,Ctrl,A
44,04/16/18 06:10:00 PM,25.028,Ctrl,A
45,04/16/18 06:20:00 PM,25.028,Ctrl,A
46,04/16/18 06:30:00 PM,25.028,Ctrl,A
47,04/16/18 06:40:00 PM,25.028,Ctrl,A
48,04/16/18 06:50:00 PM,25.028,Ctrl,A
49,04/16/18 07:00:00 PM,25.028,Ctrl,A
50,04/16/18 07:10:00 PM,25.028,Ctrl,A
51,04/16/18 07:20:00 PM,25.125,Ctrl,A
52,04/16/18 07:30:00 PM,25.125,Ctrl,A
53,04/16/18 07:40:00 PM,25.125,Ctrl,A
54,04/16/18 07:50:00 PM,25.125,Ctrl,A
55,04/16/18 08:00:00 PM,25.125,Ctrl,A
56,04/16/18 08:10:00 PM,25.125,Ctrl,A
57,04/16/18 08:20:00 PM,25.125,Ctrl,A
58,04/16/18 08:30:00 PM,25.125,Ctrl,A
59,04/16/18 08:40:00 PM,25.125,Ctrl,A
60,04/16/18 08:50:00 PM,25.125,Ctrl,A
61,04/16/18 09:00:00 PM,25.125,Ctrl,A
62,04/16/18 09:10:00 PM,25.125,Ctrl,A
63,04/16/18 09:20:00 PM,25.125,Ctrl,A
64,04/16/18 09:30:00 PM,25.125,Ctrl,A
65,04/16/18 09:40:00 PM,25.125,Ctrl,A
66,04/16/18 09:50:00 PM,25.125,Ctrl,A
67,04/16/18 10:00:00 PM,25.125,Ctrl,A
68,04/16/18 10:10:00 PM,25.125,Ctrl,A
69,04/16/18 10:20:00 PM,25.125,Ctrl,A
70,04/16/18 10:30:00 PM,25.125,Ctrl,A
71,04/16/18 10:40:00 PM,25.125,Ctrl,A
72,04/16/18 10:50:00 PM,25.125,Ctrl,A
73,04/16/18 11:00:00 PM,25.125,Ctrl,A
74,04/16/18 11:10:00 PM,25.125,Ctrl,A
75,04/16/18 11:20:00 PM,25.028,Ctrl,A
76,04/16/18 11:30:00 PM,25.028,Ctrl,A
77,04/16/18 11:40:00 PM,25.028,Ctrl,A
78,04/16/18 11:50:00 PM,25.028,Ctrl,A
79,04/17/18 12:00:00 AM,25.028,Ctrl,A
80,04/17/18 12:10:00 AM,25.028,Ctrl,A
81,04/17/18 12:20:00 AM,24.931,Ctrl,A
82,04/17/18 12:30:00 AM,24.931,Ctrl,A
83,04/17/18 12:40:00 AM,24.931,Ctrl,A
84,04/17/18 12:50:00 AM,24.931,Ctrl,A
85,04/17/18 01:00:00 AM,24.931,Ctrl,A
86,04/17/18 01:10:00 AM,24.931,Ctrl,A
87,04/17/18 01:20:00 AM,24.931,Ctrl,A
88,04/17/18 01:30:00 AM,24.931,Ctrl,A
89,04/17/18 01:40:00 AM,24.931,Ctrl,A
90,04/17/18 01:50:00 AM,24.835,Ctrl,A
91,04/17/18 02:00:00 AM,24.835,Ctrl,A
92,04/17/18 02:10:00 AM,24.835,Ctrl,A
93,04/17/18 02:20:00 AM,24.835,Ctrl,A
94,04/17/18 02:30:00 AM,24.835,Ctrl,A
95,04/17/18 02:40:00 AM,24.835,Ctrl,A
96,04/17/18 02:50:00 AM,24.835,Ctrl,A
97,04/17/18 03:00:00 AM,24.835,Ctrl,A
98,04/17/18 03:10:00 AM,24.738,Ctrl,A
99,04/17/18 03:20:00 AM,24.738,Ctrl,A
100,04/17/18 03:30:00 AM,24.738,Ctrl,A
101,04/17/18 03:40:00 AM,24.738,Ctrl,A
102,04/17/18 03:50:00 AM,24.738,Ctrl,A
103,04/17/18 04:00:00 AM,24.738,Ctrl,A
104,04/17/18 04:10:00 AM,24.641,Ctrl,A
105,04/17/18 04:20:00 AM,24.641,Ctrl,A
