n,"Date Time, GMT-04:00",Temp ,Treat,Rep
1,04/16/18 11:00:00 AM,25.805,Ctrl,B
2,04/16/18 11:10:00 AM,25.708,Ctrl,B
3,04/16/18 11:20:00 AM,25.708,Ctrl,B
4,04/16/18 11:30:00 AM,25.61,Ctrl,B
5,04/16/18 11:40:00 AM,25.61,Ctrl,B
6,04/16/18 11:50:00 AM,25.61,Ctrl,B
7,04/16/18 12:00:00 PM,25.513,Ctrl,B
8,04/16/18 12:10:00 PM,25.513,Ctrl,B
9,04/16/18 12:20:00 PM,25.416,Ctrl,B
10,04/16/18 12:30:00 PM,25.416,Ctrl,B
11,04/16/18 12:40:00 PM,25.416,Ctrl,B
12,04/16/18 12:50:00 PM,25.416,Ctrl,B
13,04/16/18 01:00:00 PM,25.319,Ctrl,B
14,04/16/18 01:10:00 PM,25.319,Ctrl,B
15,04/16/18 01:20:00 PM,25.319,Ctrl,B
16,04/16/18 01:30:00 PM,25.319,Ctrl,B
17,04/16/18 01:40:00 PM,25.319,Ctrl,B
18,04/16/18 01:50:00 PM,25.319,Ctrl,B
19,04/16/18 02:00:00 PM,25.222,Ctrl,B
20,04/16/18 02:10:00 PM,25.222,Ctrl,B
21,04/16/18 02:20:00 PM,25.222,Ctrl,B
22,04/16/18 02:30:00 PM,25.222,Ctrl,B
23,04/16/18 02:40:00 PM,25.125,Ctrl,B
24,04/16/18 02:50:00 PM,25.125,Ctrl,B
25,04/16/18 03:00:00 PM,25.125,Ctrl,B
26,04/16/18 03:10:00 PM,25.028,Ctrl,B
27,04/16/18 03:20:00 PM,25.028,Ctrl,B
28,04/16/18 03:30:00 PM,25.028,Ctrl,B
29,04/16/18 03:40:00 PM,25.028,Ctrl,B
30,04/16/18 03:50:00 PM,24.931,Ctrl,B
31,04/16/18 04:00:00 PM,24.931,Ctrl,B
32,04/16/18 04:10:00 PM,24.931,Ctrl,B
33,04/16/18 04:20:00 PM,24.931,Ctrl,B
34,04/16/18 04:30:00 PM,24.931,Ctrl,B
35,04/16/18 04:40:00 PM,24.931,Ctrl,B
36,04/16/18 04:50:00 PM,24.931,Ctrl,B
37,04/16/18 05:00:00 PM,24.931,Ctrl,B
38,04/16/18 05:10:00 PM,24.931,Ctrl,B
39,04/16/18 05:20:00 PM,24.931,Ctrl,B
40,04/16/18 05:30:00 PM,25.028,Ctrl,B
41,04/16/18 05:40:00 PM,25.028,Ctrl,B
42,04/16/18 05:50:00 PM,25.028,Ctrl,B
43,04/16/18 06:00:00 PM,25.028,Ctrl,B
44,04/16/18 06:10:00 PM,25.028,Ctrl,B
45,04/16/18 06:20:00 PM,25.028,Ctrl,B
46,04/16/18 06:30:00 PM,25.125,Ctrl,B
47,04/16/18 06:40:00 PM,25.125,Ctrl,B
48,04/16/18 06:50:00 PM,25.125,Ctrl,B
49,04/16/18 07:00:00 PM,25.125,Ctrl,B
50,04/16/18 07:10:00 PM,25.125,Ctrl,B
51,04/16/18 07:20:00 PM,25.125,Ctrl,B
52,04/16/18 07:30:00 PM,25.125,Ctrl,B
53,04/16/18 07:40:00 PM,25.125,Ctrl,B
54,04/16/18 07:50:00 PM,25.125,Ctrl,B
55,04/16/18 08:00:00 PM,25.125,Ctrl,B
56,04/16/18 08:10:00 PM,25.222,Ctrl,B
57,04/16/18 08:20:00 PM,25.222,Ctrl,B
58,04/16/18 08:30:00 PM,25.222,Ctrl,B
59,04/16/18 08:40:00 PM,25.222,Ctrl,B
60,04/16/18 08:50:00 PM,25.222,Ctrl,B
61,04/16/18 09:00:00 PM,25.222,Ctrl,B
62,04/16/18 09:10:00 PM,25.222,Ctrl,B
63,04/16/18 09:20:00 PM,25.222,Ctrl,B
64,04/16/18 09:30:00 PM,25.222,Ctrl,B
65,04/16/18 09:40:00 PM,25.222,Ctrl,B
66,04/16/18 09:50:00 PM,25.222,Ctrl,B
67,04/16/18 10:00:00 PM,25.125,Ctrl,B
68,04/16/18 10:10:00 PM,25.222,Ctrl,B
69,04/16/18 10:20:00 PM,25.222,Ctrl,B
70,04/16/18 10:30:00 PM,25.222,Ctrl,B
71,04/16/18 10:40:00 PM,25.125,Ctrl,B
72,04/16/18 10:50:00 PM,25.125,Ctrl,B
73,04/16/18 11:00:00 PM,25.125,Ctrl,B
74,04/16/18 11:10:00 PM,25.125,Ctrl,B
75,04/16/18 11:20:00 PM,25.125,Ctrl,B
76,04/16/18 11:30:00 PM,25.125,Ctrl,B
77,04/16/18 11:40:00 PM,25.125,Ctrl,B
78,04/16/18 11:50:00 PM,25.125,Ctrl,B
79,04/17/18 12:00:00 AM,25.125,Ctrl,B
80,04/17/18 12:10:00 AM,25.028,Ctrl,B
81,04/17/18 12:20:00 AM,25.125,Ctrl,B
82,04/17/18 12:30:00 AM,25.028,Ctrl,B
83,04/17/18 12:40:00 AM,25.028,Ctrl,B
84,04/17/18 12:50:00 AM,25.028,Ctrl,B
85,04/17/18 01:00:00 AM,25.028,Ctrl,B
86,04/17/18 01:10:00 AM,25.028,Ctrl,B
87,04/17/18 01:20:00 AM,24.931,Ctrl,B
88,04/17/18 01:30:00 AM,24.931,Ctrl,B
89,04/17/18 01:40:00 AM,24.931,Ctrl,B
90,04/17/18 01:50:00 AM,24.931,Ctrl,B
91,04/17/18 02:00:00 AM,24.931,Ctrl,B
92,04/17/18 02:10:00 AM,24.931,Ctrl,B
93,04/17/18 02:20:00 AM,24.931,Ctrl,B
94,04/17/18 02:30:00 AM,24.931,Ctrl,B
95,04/17/18 02:40:00 AM,24.835,Ctrl,B
96,04/17/18 02:50:00 AM,24.835,Ctrl,B
97,04/17/18 03:00:00 AM,24.835,Ctrl,B
98,04/17/18 03:10:00 AM,24.835,Ctrl,B
