n,"Date Time, GMT-04:00",Temp,Treat,Rep
1,04/16/18 11:00:00 AM,25.902,Ctrl,C
2,04/16/18 11:10:00 AM,25.805,Ctrl,C
3,04/16/18 11:20:00 AM,25.805,Ctrl,C
4,04/16/18 11:30:00 AM,25.805,Ctrl,C
5,04/16/18 11:40:00 AM,25.708,Ctrl,C
6,04/16/18 11:50:00 AM,25.708,Ctrl,C
7,04/16/18 12:00:00 PM,25.708,Ctrl,C
8,04/16/18 12:10:00 PM,25.61,Ctrl,C
9,04/16/18 12:20:00 PM,25.61,Ctrl,C
10,04/16/18 12:30:00 PM,25.61,Ctrl,C
11,04/16/18 12:40:00 PM,25.61,Ctrl,C
12,04/16/18 12:50:00 PM,25.513,Ctrl,C
13,04/16/18 01:00:00 PM,25.513,Ctrl,C
14,04/16/18 01:10:00 PM,25.513,Ctrl,C
15,04/16/18 01:20:00 PM,25.513,Ctrl,C
16,04/16/18 01:30:00 PM,25.513,Ctrl,C
17,04/16/18 01:40:00 PM,25.416,Ctrl,C
18,04/16/18 01:50:00 PM,25.416,Ctrl,C
19,04/16/18 02:00:00 PM,25.416,Ctrl,C
20,04/16/18 02:10:00 PM,25.319,Ctrl,C
21,04/16/18 02:20:00 PM,25.319,Ctrl,C
22,04/16/18 02:30:00 PM,25.319,Ctrl,C
23,04/16/18 02:40:00 PM,25.319,Ctrl,C
24,04/16/18 02:50:00 PM,25.319,Ctrl,C
25,04/16/18 03:00:00 PM,25.222,Ctrl,C
26,04/16/18 03:10:00 PM,25.222,Ctrl,C
27,04/16/18 03:20:00 PM,25.222,Ctrl,C
28,04/16/18 03:30:00 PM,25.222,Ctrl,C
29,04/16/18 03:40:00 PM,25.222,Ctrl,C
30,04/16/18 03:50:00 PM,25.222,Ctrl,C
31,04/16/18 04:00:00 PM,25.125,Ctrl,C
32,04/16/18 04:10:00 PM,25.125,Ctrl,C
33,04/16/18 04:20:00 PM,25.125,Ctrl,C
34,04/16/18 04:30:00 PM,25.125,Ctrl,C
35,04/16/18 04:40:00 PM,25.222,Ctrl,C
36,04/16/18 04:50:00 PM,25.222,Ctrl,C
37,04/16/18 05:00:00 PM,25.222,Ctrl,C
38,04/16/18 05:10:00 PM,25.222,Ctrl,C
39,04/16/18 05:20:00 PM,25.222,Ctrl,C
40,04/16/18 05:30:00 PM,25.222,Ctrl,C
41,04/16/18 05:40:00 PM,25.222,Ctrl,C
42,04/16/18 05:50:00 PM,25.222,Ctrl,C
43,04/16/18 06:00:00 PM,25.319,Ctrl,C
44,04/16/18 06:10:00 PM,25.319,Ctrl,C
45,04/16/18 06:20:00 PM,25.319,Ctrl,C
46,04/16/18 06:30:00 PM,25.319,Ctrl,C
47,04/16/18 06:40:00 PM,25.319,Ctrl,C
48,04/16/18 06:50:00 PM,25.319,Ctrl,C
49,04/16/18 07:00:00 PM,25.319,Ctrl,C
50,04/16/18 07:10:00 PM,25.416,Ctrl,C
51,04/16/18 07:20:00 PM,25.416,Ctrl,C
52,04/16/18 07:30:00 PM,25.416,Ctrl,C
53,04/16/18 07:40:00 PM,25.416,Ctrl,C
54,04/16/18 07:50:00 PM,25.416,Ctrl,C
55,04/16/18 08:00:00 PM,25.416,Ctrl,C
56,04/16/18 08:10:00 PM,25.416,Ctrl,C
57,04/16/18 08:20:00 PM,25.416,Ctrl,C
58,04/16/18 08:30:00 PM,25.416,Ctrl,C
59,04/16/18 08:40:00 PM,25.416,Ctrl,C
60,04/16/18 08:50:00 PM,25.513,Ctrl,C
61,04/16/18 09:00:00 PM,25.416,Ctrl,C
62,04/16/18 09:10:00 PM,25.513,Ctrl,C
63,04/16/18 09:20:00 PM,25.416,Ctrl,C
64,04/16/18 09:30:00 PM,25.513,Ctrl,C
65,04/16/18 09:40:00 PM,25.513,Ctrl,C
66,04/16/18 09:50:00 PM,25.513,Ctrl,C
67,04/16/18 10:00:00 PM,25.416,Ctrl,C
68,04/16/18 10:10:00 PM,25.513,Ctrl,C
69,04/16/18 10:20:00 PM,25.513,Ctrl,C
70,04/16/18 10:30:00 PM,25.416,Ctrl,C
71,04/16/18 10:40:00 PM,25.416,Ctrl,C
72,04/16/18 10:50:00 PM,25.416,Ctrl,C
73,04/16/18 11:00:00 PM,25.416,Ctrl,C
74,04/16/18 11:10:00 PM,25.416,Ctrl,C
75,04/16/18 11:20:00 PM,25.416,Ctrl,C
76,04/16/18 11:30:00 PM,25.416,Ctrl,C
77,04/16/18 11:40:00 PM,25.416,Ctrl,C
78,04/16/18 11:50:00 PM,25.416,Ctrl,C
79,04/17/18 12:00:00 AM,25.416,Ctrl,C
80,04/17/18 12:10:00 AM,25.416,Ctrl,C
81,04/17/18 12:20:00 AM,25.319,Ctrl,C
82,04/17/18 12:30:00 AM,25.319,Ctrl,C
83,04/17/18 12:40:00 AM,25.319,Ctrl,C
84,04/17/18 12:50:00 AM,25.319,Ctrl,C
85,04/17/18 01:00:00 AM,25.319,Ctrl,C
86,04/17/18 01:10:00 AM,25.319,Ctrl,C
87,04/17/18 01:20:00 AM,25.319,Ctrl,C
88,04/17/18 01:30:00 AM,25.319,Ctrl,C
89,04/17/18 01:40:00 AM,25.222,Ctrl,C
90,04/17/18 01:50:00 AM,25.222,Ctrl,C
91,04/17/18 02:00:00 AM,25.222,Ctrl,C
92,04/17/18 02:10:00 AM,25.222,Ctrl,C
93,04/17/18 02:20:00 AM,25.222,Ctrl,C
94,04/17/18 02:30:00 AM,25.222,Ctrl,C
95,04/17/18 02:40:00 AM,25.222,Ctrl,C
96,04/17/18 02:50:00 AM,25.222,Ctrl,C
97,04/17/18 03:00:00 AM,25.222,Ctrl,C
98,04/17/18 03:10:00 AM,25.125,Ctrl,C
99,04/17/18 03:20:00 AM,25.125,Ctrl,C
100,04/17/18 03:30:00 AM,25.125,Ctrl,C
101,04/17/18 03:40:00 AM,25.125,Ctrl,C
102,04/17/18 03:50:00 AM,25.125,Ctrl,C
103,04/17/18 04:00:00 AM,25.125,Ctrl,C
104,04/17/18 04:10:00 AM,25.028,Ctrl,C
105,04/17/18 04:20:00 AM,25.028,Ctrl,C
106,04/17/18 04:30:00 AM,25.028,Ctrl,C
107,04/17/18 04:40:00 AM,24.931,Ctrl,C
108,04/17/18 04:50:00 AM,24.931,Ctrl,C
109,04/17/18 05:00:00 AM,24.931,Ctrl,C
110,04/17/18 05:10:00 AM,24.931,Ctrl,C
111,04/17/18 05:20:00 AM,24.931,Ctrl,C
112,04/17/18 05:30:00 AM,24.931,Ctrl,C
113,04/17/18 05:40:00 AM,24.931,Ctrl,C
114,04/17/18 05:50:00 AM,24.835,Ctrl,C
115,04/17/18 06:00:00 AM,24.835,Ctrl,C
116,04/17/18 06:10:00 AM,24.835,Ctrl,C
117,04/17/18 06:20:00 AM,24.835,Ctrl,C
118,04/17/18 06:30:00 AM,24.738,Ctrl,C
119,04/17/18 06:40:00 AM,24.738,Ctrl,C
120,04/17/18 06:50:00 AM,24.738,Ctrl,C
121,04/17/18 07:00:00 AM,24.738,Ctrl,C
122,04/17/18 07:10:00 AM,24.738,Ctrl,C
123,04/17/18 07:20:00 AM,24.641,Ctrl,C
124,04/17/18 07:30:00 AM,24.641,Ctrl,C
125,04/17/18 07:40:00 AM,24.641,Ctrl,C
126,04/17/18 07:50:00 AM,24.641,Ctrl,C
127,04/17/18 08:00:00 AM,24.641,Ctrl,C
128,04/17/18 08:10:00 AM,24.641,Ctrl,C
129,04/17/18 08:20:00 AM,24.545,Ctrl,C
130,04/17/18 08:30:00 AM,24.545,Ctrl,C
