n,"Date Time, GMT-04:00",Temp ,Treat,Rep
1,04/16/18 11:00:00 AM,26,Heat,D
2,04/16/18 11:10:00 AM,25.902,Heat,D
3,04/16/18 11:20:00 AM,25.902,Heat,D
4,04/16/18 11:30:00 AM,25.805,Heat,D
5,04/16/18 11:40:00 AM,25.805,Heat,D
6,04/16/18 11:50:00 AM,25.805,Heat,D
7,04/16/18 12:00:00 PM,25.708,Heat,D
8,04/16/18 12:10:00 PM,25.708,Heat,D
9,04/16/18 12:20:00 PM,25.61,Heat,D
10,04/16/18 12:30:00 PM,25.61,Heat,D
11,04/16/18 12:40:00 PM,25.61,Heat,D
12,04/16/18 12:50:00 PM,25.513,Heat,D
13,04/16/18 01:00:00 PM,25.513,Heat,D
14,04/16/18 01:10:00 PM,25.513,Heat,D
15,04/16/18 01:20:00 PM,25.61,Heat,D
16,04/16/18 01:30:00 PM,25.902,Heat,D
17,04/16/18 01:40:00 PM,26.097,Heat,D
18,04/16/18 01:50:00 PM,26.292,Heat,D
19,04/16/18 02:00:00 PM,26.39,Heat,D
20,04/16/18 02:10:00 PM,26.585,Heat,D
21,04/16/18 02:20:00 PM,26.781,Heat,D
22,04/16/18 02:30:00 PM,26.879,Heat,D
23,04/16/18 02:40:00 PM,26.879,Heat,D
24,04/16/18 02:50:00 PM,27.075,Heat,D
25,04/16/18 03:00:00 PM,27.37,Heat,D
26,04/16/18 03:10:00 PM,27.567,Heat,D
27,04/16/18 03:20:00 PM,27.764,Heat,D
28,04/16/18 03:30:00 PM,27.961,Heat,D
29,04/16/18 03:40:00 PM,28.06,Heat,D
30,04/16/18 03:50:00 PM,28.258,Heat,D
31,04/16/18 04:00:00 PM,28.357,Heat,D
32,04/16/18 04:10:00 PM,28.655,Heat,D
33,04/16/18 04:20:00 PM,28.853,Heat,D
34,04/16/18 04:30:00 PM,28.953,Heat,D
35,04/16/18 04:40:00 PM,29.152,Heat,D
36,04/16/18 04:50:00 PM,29.252,Heat,D
37,04/16/18 05:00:00 PM,29.352,Heat,D
38,04/16/18 05:10:00 PM,29.452,Heat,D
39,04/16/18 05:20:00 PM,29.552,Heat,D
40,04/16/18 05:30:00 PM,29.652,Heat,D
41,04/16/18 05:40:00 PM,29.752,Heat,D
42,04/16/18 05:50:00 PM,29.752,Heat,D
43,04/16/18 06:00:00 PM,29.853,Heat,D
44,04/16/18 06:10:00 PM,29.953,Heat,D
45,04/16/18 06:20:00 PM,29.953,Heat,D
46,04/16/18 06:30:00 PM,30.054,Heat,D
47,04/16/18 06:40:00 PM,30.054,Heat,D
48,04/16/18 06:50:00 PM,30.154,Heat,D
49,04/16/18 07:00:00 PM,30.154,Heat,D
50,04/16/18 07:10:00 PM,30.154,Heat,D
51,04/16/18 07:20:00 PM,30.255,Heat,D
52,04/16/18 07:30:00 PM,30.255,Heat,D
53,04/16/18 07:40:00 PM,30.255,Heat,D
54,04/16/18 07:50:00 PM,30.255,Heat,D
55,04/16/18 08:00:00 PM,30.356,Heat,D
56,04/16/18 08:10:00 PM,30.356,Heat,D
57,04/16/18 08:20:00 PM,30.356,Heat,D
58,04/16/18 08:30:00 PM,30.356,Heat,D
59,04/16/18 08:40:00 PM,30.457,Heat,D
60,04/16/18 08:50:00 PM,30.457,Heat,D
61,04/16/18 09:00:00 PM,30.558,Heat,D
62,04/16/18 09:10:00 PM,30.76,Heat,D
63,04/16/18 09:20:00 PM,30.862,Heat,D
64,04/16/18 09:30:00 PM,30.963,Heat,D
65,04/16/18 09:40:00 PM,31.166,Heat,D
66,04/16/18 09:50:00 PM,31.37,Heat,D
67,04/16/18 10:00:00 PM,31.574,Heat,D
68,04/16/18 10:10:00 PM,31.778,Heat,D
69,04/16/18 10:20:00 PM,31.983,Heat,D
70,04/16/18 10:30:00 PM,32.188,Heat,D
71,04/16/18 10:40:00 PM,32.291,Heat,D
72,04/16/18 10:50:00 PM,32.497,Heat,D
73,04/16/18 11:00:00 PM,32.6,Heat,D
74,04/16/18 11:10:00 PM,32.807,Heat,D
75,04/16/18 11:20:00 PM,32.911,Heat,D
76,04/16/18 11:30:00 PM,33.014,Heat,D
77,04/16/18 11:40:00 PM,33.118,Heat,D
78,04/16/18 11:50:00 PM,33.222,Heat,D
79,04/17/18 12:00:00 AM,33.326,Heat,D
80,04/17/18 12:10:00 AM,33.43,Heat,D
81,04/17/18 12:20:00 AM,33.535,Heat,D
82,04/17/18 12:30:00 AM,33.639,Heat,D
83,04/17/18 12:40:00 AM,33.743,Heat,D
84,04/17/18 12:50:00 AM,33.848,Heat,D
85,04/17/18 01:00:00 AM,33.848,Heat,D
86,04/17/18 01:10:00 AM,33.848,Heat,D
87,04/17/18 01:20:00 AM,33.848,Heat,D
88,04/17/18 01:30:00 AM,33.848,Heat,D
89,04/17/18 01:40:00 AM,33.848,Heat,D
90,04/17/18 01:50:00 AM,33.848,Heat,D
91,04/17/18 02:00:00 AM,33.953,Heat,D
92,04/17/18 02:10:00 AM,33.848,Heat,D
93,04/17/18 02:20:00 AM,33.953,Heat,D
94,04/17/18 02:30:00 AM,33.953,Heat,D
95,04/17/18 02:40:00 AM,34.058,Heat,D
96,04/17/18 02:50:00 AM,34.058,Heat,D
97,04/17/18 03:00:00 AM,33.953,Heat,D
98,04/17/18 03:10:00 AM,34.058,Heat,D
99,04/17/18 03:20:00 AM,33.953,Heat,D
100,04/17/18 03:30:00 AM,33.953,Heat,D
101,04/17/18 03:40:00 AM,34.058,Heat,D
102,04/17/18 03:50:00 AM,33.953,Heat,D
103,04/17/18 04:00:00 AM,33.953,Heat,D
104,04/17/18 04:10:00 AM,34.058,Heat,D
105,04/17/18 04:20:00 AM,34.058,Heat,D
106,04/17/18 04:30:00 AM,34.163,Heat,D
107,04/17/18 04:40:00 AM,34.163,Heat,D
108,04/17/18 04:50:00 AM,34.163,Heat,D
109,04/17/18 05:00:00 AM,34.268,Heat,D
110,04/17/18 05:10:00 AM,34.268,Heat,D
111,04/17/18 05:20:00 AM,34.268,Heat,D
112,04/17/18 05:30:00 AM,34.374,Heat,D
113,04/17/18 05:40:00 AM,34.374,Heat,D
114,04/17/18 05:50:00 AM,34.374,Heat,D
115,04/17/18 06:00:00 AM,34.374,Heat,D
116,04/17/18 06:10:00 AM,34.374,Heat,D
117,04/17/18 06:20:00 AM,34.479,Heat,D
118,04/17/18 06:30:00 AM,34.479,Heat,D
119,04/17/18 06:40:00 AM,34.479,Heat,D
120,04/17/18 06:50:00 AM,34.479,Heat,D
121,04/17/18 07:00:00 AM,34.374,Heat,D
122,04/17/18 07:10:00 AM,34.374,Heat,D
123,04/17/18 07:20:00 AM,34.374,Heat,D
124,04/17/18 07:30:00 AM,34.374,Heat,D
125,04/17/18 07:40:00 AM,34.374,Heat,D
126,04/17/18 07:50:00 AM,34.479,Heat,D
127,04/17/18 08:00:00 AM,34.479,Heat,D
128,04/17/18 08:10:00 AM,34.479,Heat,D
129,04/17/18 08:20:00 AM,34.479,Heat,D
130,04/17/18 08:30:00 AM,34.479,Heat,D
131,04/17/18 08:40:00 AM,34.479,Heat,D
132,04/17/18 08:50:00 AM,34.479,Heat,D
133,04/17/18 09:00:00 AM,34.268,Heat,D
134,04/17/18 09:10:00 AM,34.268,Heat,D
135,04/17/18 09:20:00 AM,34.268,Heat,D
136,04/17/18 09:30:00 AM,34.163,Heat,D
137,04/17/18 09:40:00 AM,33.953,Heat,D
138,04/17/18 09:50:00 AM,33.848,Heat,D
139,04/17/18 10:00:00 AM,33.743,Heat,D
140,04/17/18 10:10:00 AM,33.535,Heat,D
141,04/17/18 10:20:00 AM,33.43,Heat,D
142,04/17/18 10:30:00 AM,33.326,Heat,D
143,04/17/18 10:40:00 AM,33.222,Heat,D
144,04/17/18 10:50:00 AM,33.014,Heat,D
145,04/17/18 11:00:00 AM,32.911,Heat,D
146,04/17/18 11:10:00 AM,32.807,Heat,D
147,04/17/18 11:20:00 AM,32.704,Heat,D
148,04/17/18 11:30:00 AM,32.6,Heat,D
149,04/17/18 11:40:00 AM,32.6,Heat,D
150,04/17/18 11:50:00 AM,32.497,Heat,D
151,04/17/18 12:00:00 PM,32.394,Heat,D
152,04/17/18 12:10:00 PM,32.394,Heat,D
153,04/17/18 12:20:00 PM,32.291,Heat,D
154,04/17/18 12:30:00 PM,32.291,Heat,D
155,04/17/18 12:40:00 PM,32.291,Heat,D
156,04/17/18 12:50:00 PM,32.188,Heat,D
157,04/17/18 01:00:00 PM,32.188,Heat,D
158,04/17/18 01:10:00 PM,32.086,Heat,D
159,04/17/18 01:20:00 PM,32.188,Heat,D
160,04/17/18 01:30:00 PM,32.086,Heat,D
161,04/17/18 01:40:00 PM,32.188,Heat,D
162,04/17/18 01:50:00 PM,32.086,Heat,D
163,04/17/18 02:00:00 PM,32.188,Heat,D
164,04/17/18 02:10:00 PM,32.086,Heat,D
165,04/17/18 02:20:00 PM,32.188,Heat,D
166,04/17/18 02:30:00 PM,32.086,Heat,D
167,04/17/18 02:40:00 PM,32.188,Heat,D
168,04/17/18 02:50:00 PM,32.086,Heat,D
169,04/17/18 03:00:00 PM,32.188,Heat,D
170,04/17/18 03:10:00 PM,32.086,Heat,D
171,04/17/18 03:20:00 PM,32.086,Heat,D
172,04/17/18 03:30:00 PM,32.086,Heat,D
173,04/17/18 03:40:00 PM,32.188,Heat,D
174,04/17/18 03:50:00 PM,32.086,Heat,D
175,04/17/18 04:00:00 PM,32.086,Heat,D
176,04/17/18 04:10:00 PM,32.086,Heat,D
177,04/17/18 04:20:00 PM,32.188,Heat,D
178,04/17/18 04:30:00 PM,32.086,Heat,D
179,04/17/18 04:40:00 PM,32.086,Heat,D
180,04/17/18 04:50:00 PM,32.188,Heat,D
181,04/17/18 05:00:00 PM,32.086,Heat,D
182,04/17/18 05:10:00 PM,32.086,Heat,D
183,04/17/18 05:20:00 PM,32.086,Heat,D
184,04/17/18 05:30:00 PM,31.983,Heat,D
185,04/17/18 05:40:00 PM,31.983,Heat,D
186,04/17/18 05:50:00 PM,31.983,Heat,D
187,04/17/18 06:00:00 PM,31.88,Heat,D
188,04/17/18 06:10:00 PM,31.88,Heat,D
189,04/17/18 06:20:00 PM,31.88,Heat,D
190,04/17/18 06:30:00 PM,31.88,Heat,D
191,04/17/18 06:40:00 PM,31.778,Heat,D
192,04/17/18 06:50:00 PM,31.778,Heat,D
193,04/17/18 07:00:00 PM,31.88,Heat,D
194,04/17/18 07:10:00 PM,31.778,Heat,D
195,04/17/18 07:20:00 PM,31.778,Heat,D
196,04/17/18 07:30:00 PM,31.778,Heat,D
197,04/17/18 07:40:00 PM,31.778,Heat,D
198,04/17/18 07:50:00 PM,31.778,Heat,D
199,04/17/18 08:00:00 PM,31.676,Heat,D
200,04/17/18 08:10:00 PM,31.778,Heat,D
201,04/17/18 08:20:00 PM,31.778,Heat,D
202,04/17/18 08:30:00 PM,31.676,Heat,D
203,04/17/18 08:40:00 PM,31.778,Heat,D
204,04/17/18 08:50:00 PM,31.778,Heat,D
205,04/17/18 09:00:00 PM,31.676,Heat,D
206,04/17/18 09:10:00 PM,31.778,Heat,D
207,04/17/18 09:20:00 PM,31.778,Heat,D
208,04/17/18 09:30:00 PM,31.778,Heat,D
209,04/17/18 09:40:00 PM,31.676,Heat,D
210,04/17/18 09:50:00 PM,31.778,Heat,D
211,04/17/18 10:00:00 PM,31.778,Heat,D
212,04/17/18 10:10:00 PM,31.676,Heat,D
213,04/17/18 10:20:00 PM,31.676,Heat,D
214,04/17/18 10:30:00 PM,31.778,Heat,D
