n,"Date Time, GMT-04:00",Temp,Treat,Rep
1,04/16/18 11:00:00 AM,26,Heat,E
2,04/16/18 11:10:00 AM,25.902,Heat,E
3,04/16/18 11:20:00 AM,25.902,Heat,E
4,04/16/18 11:30:00 AM,25.902,Heat,E
5,04/16/18 11:40:00 AM,25.805,Heat,E
6,04/16/18 11:50:00 AM,25.805,Heat,E
7,04/16/18 12:00:00 PM,25.708,Heat,E
8,04/16/18 12:10:00 PM,25.708,Heat,E
9,04/16/18 12:20:00 PM,25.708,Heat,E
10,04/16/18 12:30:00 PM,25.61,Heat,E
11,04/16/18 12:40:00 PM,25.61,Heat,E
12,04/16/18 12:50:00 PM,25.61,Heat,E
13,04/16/18 01:00:00 PM,25.513,Heat,E
14,04/16/18 01:10:00 PM,25.513,Heat,E
15,04/16/18 01:20:00 PM,25.61,Heat,E
16,04/16/18 01:30:00 PM,25.805,Heat,E
17,04/16/18 01:40:00 PM,25.902,Heat,E
18,04/16/18 01:50:00 PM,25.902,Heat,E
19,04/16/18 02:00:00 PM,26.097,Heat,E
20,04/16/18 02:10:00 PM,26.097,Heat,E
21,04/16/18 02:20:00 PM,26.195,Heat,E
22,04/16/18 02:30:00 PM,26.097,Heat,E
23,04/16/18 02:40:00 PM,26.195,Heat,E
24,04/16/18 02:50:00 PM,26.195,Heat,E
25,04/16/18 03:00:00 PM,26.488,Heat,E
26,04/16/18 03:10:00 PM,26.683,Heat,E
27,04/16/18 03:20:00 PM,26.683,Heat,E
28,04/16/18 03:30:00 PM,26.879,Heat,E
29,04/16/18 03:40:00 PM,26.977,Heat,E
30,04/16/18 03:50:00 PM,26.977,Heat,E
31,04/16/18 04:00:00 PM,27.272,Heat,E
32,04/16/18 04:10:00 PM,27.37,Heat,E
33,04/16/18 04:20:00 PM,27.468,Heat,E
34,04/16/18 04:30:00 PM,27.665,Heat,E
35,04/16/18 04:40:00 PM,27.764,Heat,E
36,04/16/18 04:50:00 PM,27.764,Heat,E
37,04/16/18 05:00:00 PM,27.961,Heat,E
38,04/16/18 05:10:00 PM,27.961,Heat,E
39,04/16/18 05:20:00 PM,28.258,Heat,E
40,04/16/18 05:30:00 PM,28.456,Heat,E
41,04/16/18 05:40:00 PM,28.456,Heat,E
42,04/16/18 05:50:00 PM,28.655,Heat,E
43,04/16/18 06:00:00 PM,28.754,Heat,E
