n,"Date Time, GMT-04:00",Temp,Treat,Rep
1,04/16/18 11:00:00 AM,26.292,Heat,f
2,04/16/18 11:10:00 AM,26.292,Heat,f
3,04/16/18 11:20:00 AM,26.195,Heat,f
4,04/16/18 11:30:00 AM,26.195,Heat,f
5,04/16/18 11:40:00 AM,26.195,Heat,f
6,04/16/18 11:50:00 AM,26.195,Heat,f
7,04/16/18 12:00:00 PM,26.097,Heat,f
8,04/16/18 12:10:00 PM,26.097,Heat,f
9,04/16/18 12:20:00 PM,26.097,Heat,f
10,04/16/18 12:30:00 PM,26.097,Heat,f
11,04/16/18 12:40:00 PM,26.097,Heat,f
12,04/16/18 12:50:00 PM,26.097,Heat,f
13,04/16/18 01:00:00 PM,26,Heat,f
14,04/16/18 01:10:00 PM,26,Heat,f
15,04/16/18 01:20:00 PM,26.195,Heat,f
16,04/16/18 01:30:00 PM,26.195,Heat,f
17,04/16/18 01:40:00 PM,26.39,Heat,f
18,04/16/18 01:50:00 PM,26.39,Heat,f
19,04/16/18 02:00:00 PM,26.585,Heat,f
20,04/16/18 02:10:00 PM,26.488,Heat,f
21,04/16/18 02:20:00 PM,26.683,Heat,f
22,04/16/18 02:30:00 PM,26.683,Heat,f
23,04/16/18 02:40:00 PM,26.781,Heat,f
24,04/16/18 02:50:00 PM,26.781,Heat,f
25,04/16/18 03:00:00 PM,27.075,Heat,f
26,04/16/18 03:10:00 PM,27.173,Heat,f
27,04/16/18 03:20:00 PM,27.37,Heat,f
28,04/16/18 03:30:00 PM,27.567,Heat,f
29,04/16/18 03:40:00 PM,27.665,Heat,f
30,04/16/18 03:50:00 PM,27.764,Heat,f
31,04/16/18 04:00:00 PM,27.961,Heat,f
32,04/16/18 04:10:00 PM,28.258,Heat,f
33,04/16/18 04:20:00 PM,28.456,Heat,f
34,04/16/18 04:30:00 PM,28.555,Heat,f
35,04/16/18 04:40:00 PM,28.754,Heat,f
36,04/16/18 04:50:00 PM,28.953,Heat,f
37,04/16/18 05:00:00 PM,29.053,Heat,f
38,04/16/18 05:10:00 PM,29.152,Heat,f
39,04/16/18 05:20:00 PM,29.252,Heat,f
40,04/16/18 05:30:00 PM,29.352,Heat,f
41,04/16/18 05:40:00 PM,29.352,Heat,f
42,04/16/18 05:50:00 PM,29.552,Heat,f
43,04/16/18 06:00:00 PM,29.552,Heat,f
44,04/16/18 06:10:00 PM,29.652,Heat,f
45,04/16/18 06:20:00 PM,29.752,Heat,f
46,04/16/18 06:30:00 PM,29.752,Heat,f
47,04/16/18 06:40:00 PM,29.752,Heat,f
48,04/16/18 06:50:00 PM,29.853,Heat,f
49,04/16/18 07:00:00 PM,29.953,Heat,f
50,04/16/18 07:10:00 PM,29.853,Heat,f
51,04/16/18 07:20:00 PM,29.953,Heat,f
52,04/16/18 07:30:00 PM,30.054,Heat,f
53,04/16/18 07:40:00 PM,29.953,Heat,f
54,04/16/18 07:50:00 PM,30.054,Heat,f
55,04/16/18 08:00:00 PM,30.054,Heat,f
56,04/16/18 08:10:00 PM,30.054,Heat,f
57,04/16/18 08:20:00 PM,30.154,Heat,f
58,04/16/18 08:30:00 PM,30.255,Heat,f
59,04/16/18 08:40:00 PM,30.558,Heat,f
60,04/16/18 08:50:00 PM,30.659,Heat,f
61,04/16/18 09:00:00 PM,30.862,Heat,f
62,04/16/18 09:10:00 PM,31.064,Heat,f
63,04/16/18 09:20:00 PM,31.37,Heat,f
64,04/16/18 09:30:00 PM,31.574,Heat,f
65,04/16/18 09:40:00 PM,31.88,Heat,f
66,04/16/18 09:50:00 PM,32.086,Heat,f
67,04/16/18 10:00:00 PM,32.291,Heat,f
68,04/16/18 10:10:00 PM,32.497,Heat,f
69,04/16/18 10:20:00 PM,32.704,Heat,f
70,04/16/18 10:30:00 PM,32.911,Heat,f
71,04/16/18 10:40:00 PM,33.014,Heat,f
72,04/16/18 10:50:00 PM,33.222,Heat,f
73,04/16/18 11:00:00 PM,33.326,Heat,f
74,04/16/18 11:10:00 PM,33.535,Heat,f
75,04/16/18 11:20:00 PM,33.639,Heat,f
76,04/16/18 11:30:00 PM,33.743,Heat,f
77,04/16/18 11:40:00 PM,33.953,Heat,f
78,04/16/18 11:50:00 PM,34.058,Heat,f
79,04/17/18 12:00:00 AM,34.163,Heat,f
80,04/17/18 12:10:00 AM,34.268,Heat,f
81,04/17/18 12:20:00 AM,34.374,Heat,f
82,04/17/18 12:30:00 AM,34.479,Heat,f
83,04/17/18 12:40:00 AM,34.585,Heat,f
84,04/17/18 12:50:00 AM,34.479,Heat,f
85,04/17/18 01:00:00 AM,34.479,Heat,f
86,04/17/18 01:10:00 AM,34.585,Heat,f
87,04/17/18 01:20:00 AM,34.691,Heat,f
88,04/17/18 01:30:00 AM,34.585,Heat,f
89,04/17/18 01:40:00 AM,34.691,Heat,f
90,04/17/18 01:50:00 AM,34.691,Heat,f
91,04/17/18 02:00:00 AM,34.796,Heat,f
92,04/17/18 02:10:00 AM,34.691,Heat,f
93,04/17/18 02:20:00 AM,34.691,Heat,f
94,04/17/18 02:30:00 AM,34.796,Heat,f
95,04/17/18 02:40:00 AM,34.691,Heat,f
96,04/17/18 02:50:00 AM,34.691,Heat,f
97,04/17/18 03:00:00 AM,34.796,Heat,f
98,04/17/18 03:10:00 AM,34.691,Heat,f
99,04/17/18 03:20:00 AM,34.691,Heat,f
100,04/17/18 03:30:00 AM,34.796,Heat,f
101,04/17/18 03:40:00 AM,34.796,Heat,f
102,04/17/18 03:50:00 AM,34.691,Heat,f
103,04/17/18 04:00:00 AM,34.796,Heat,f
104,04/17/18 04:10:00 AM,34.796,Heat,f
105,04/17/18 04:20:00 AM,34.903,Heat,f
106,04/17/18 04:30:00 AM,34.903,Heat,f
107,04/17/18 04:40:00 AM,35.009,Heat,f
108,04/17/18 04:50:00 AM,35.009,Heat,f
109,04/17/18 05:00:00 AM,35.009,Heat,f
110,04/17/18 05:10:00 AM,35.115,Heat,f
111,04/17/18 05:20:00 AM,35.115,Heat,f
112,04/17/18 05:30:00 AM,35.115,Heat,f
113,04/17/18 05:40:00 AM,35.222,Heat,f
114,04/17/18 05:50:00 AM,35.222,Heat,f
115,04/17/18 06:00:00 AM,35.222,Heat,f
116,04/17/18 06:10:00 AM,35.222,Heat,f
117,04/17/18 06:20:00 AM,35.222,Heat,f
118,04/17/18 06:30:00 AM,35.115,Heat,f
119,04/17/18 06:40:00 AM,35.115,Heat,f
120,04/17/18 06:50:00 AM,35.222,Heat,f
121,04/17/18 07:00:00 AM,35.222,Heat,f
122,04/17/18 07:10:00 AM,35.222,Heat,f
123,04/17/18 07:20:00 AM,35.222,Heat,f
124,04/17/18 07:30:00 AM,35.222,Heat,f
125,04/17/18 07:40:00 AM,35.328,Heat,f
126,04/17/18 07:50:00 AM,35.328,Heat,f
127,04/17/18 08:00:00 AM,35.328,Heat,f
128,04/17/18 08:10:00 AM,35.009,Heat,f
129,04/17/18 08:20:00 AM,34.691,Heat,f
130,04/17/18 08:30:00 AM,34.479,Heat,f
131,04/17/18 08:40:00 AM,34.268,Heat,f
132,04/17/18 08:50:00 AM,34.163,Heat,f
133,04/17/18 09:00:00 AM,33.953,Heat,f
134,04/17/18 09:10:00 AM,33.953,Heat,f
135,04/17/18 09:20:00 AM,33.639,Heat,f
136,04/17/18 09:30:00 AM,33.535,Heat,f
137,04/17/18 09:40:00 AM,33.43,Heat,f
138,04/17/18 09:50:00 AM,33.222,Heat,f
139,04/17/18 10:00:00 AM,33.118,Heat,f
140,04/17/18 10:10:00 AM,33.014,Heat,f
141,04/17/18 10:20:00 AM,32.807,Heat,f
142,04/17/18 10:30:00 AM,32.807,Heat,f
143,04/17/18 10:40:00 AM,32.807,Heat,f
144,04/17/18 10:50:00 AM,32.704,Heat,f
145,04/17/18 11:00:00 AM,32.704,Heat,f
146,04/17/18 11:10:00 AM,32.6,Heat,f
147,04/17/18 11:20:00 AM,32.497,Heat,f
148,04/17/18 11:30:00 AM,32.6,Heat,f
149,04/17/18 11:40:00 AM,32.497,Heat,f
150,04/17/18 11:50:00 AM,32.394,Heat,f
151,04/17/18 12:00:00 PM,32.497,Heat,f
152,04/17/18 12:10:00 PM,32.394,Heat,f
153,04/17/18 12:20:00 PM,32.497,Heat,f
154,04/17/18 12:30:00 PM,32.394,Heat,f
155,04/17/18 12:40:00 PM,32.394,Heat,f
156,04/17/18 12:50:00 PM,32.394,Heat,f
157,04/17/18 01:00:00 PM,32.291,Heat,f
158,04/17/18 01:10:00 PM,32.394,Heat,f
159,04/17/18 01:20:00 PM,32.291,Heat,f
160,04/17/18 01:30:00 PM,32.394,Heat,f
161,04/17/18 01:40:00 PM,32.394,Heat,f
162,04/17/18 01:50:00 PM,32.497,Heat,f
163,04/17/18 02:00:00 PM,32.394,Heat,f
164,04/17/18 02:10:00 PM,32.497,Heat,f
165,04/17/18 02:20:00 PM,32.497,Heat,f
166,04/17/18 02:30:00 PM,32.497,Heat,f
167,04/17/18 02:40:00 PM,32.497,Heat,f
168,04/17/18 02:50:00 PM,32.497,Heat,f
169,04/17/18 03:00:00 PM,32.497,Heat,f
