Date,Family,Trmt,Rep,Count1,Count2,Count3,Count/mm2,Count/mm3,Volume,TotCount,TotLar,Zoox/Lar,Origin
20-Apr,2,Control,A,33,41.2,37.8,37.33333333,746.6666667,114.9,85792,9,9532.444444,Inshore
20-Apr,2,Control,B,9.666666667,9.888888889,8,9.185185185,183.7037037,116,21309.62963,6,3551.604938,Inshore
20-Apr,2,Control,C,45.2,51.8,43.2,46.73333333,934.6666667,116.1,108514.8,10,10851.48,Inshore
20-Apr,2,Heat,D,24.2,31.6,28.8,28.2,564,117.2,66100.8,11,6009.163636,Inshore
20-Apr,2,Heat,E,25,25,25,25,500,118,59000,10,5900,Inshore
20-Apr,2,Heat,F,60.8,66.4,66.8,64.66666667,1293.333333,123.4,159597.3333,10,15959.73333,Inshore
20-Apr,4,Control,A,27.2,35.2,38.2,33.53333333,670.6666667,121.4,81418.93333,10,8141.893333,Inshore
20-Apr,4,Control,B,45.2,35.4,34.4,38.33333333,766.6666667,117.2,89853.33333,10,8985.333333,Inshore
20-Apr,4,Control,C,31.2,33,44.6,36.26666667,725.3333333,116.7,84646.4,10,8464.64,Inshore
20-Apr,4,Heat,D,32.2,32.6,31.2,32,640,112,71680,10,7168,Inshore
20-Apr,4,Heat,E,62.8,46.6,48.2,52.53333333,1050.666667,120.8,126920.5333,10,12692.05333,Inshore
20-Apr,4,Heat,F,41,33.6,NA,37.3,746,118.2,88177.2,10,8817.72,Inshore
20-Apr,15,Control,A,11.77777778,18.2,12.11111111,14.02962963,280.5925926,120.4,33783.34815,10,3378.334815,Inshore
20-Apr,15,Control,B,46.2,55,52.6,51.26666667,1025.333333,118.8,121809.6,10,12180.96,Inshore
20-Apr,15,Control,C,55.2,51.4,35.2,47.26666667,945.3333333,122.2,115519.7333,10,11551.97333,Inshore
20-Apr,15,Heat,D,45.2,40.6,44.6,43.46666667,869.3333333,126.2,109709.8667,10,10970.98667,Inshore
20-Apr,15,Heat,E,26.6,24.4,23.8,24.93333333,498.6666667,124.5,62084,10,6208.4,Inshore
20-Apr,15,Heat,F,47.2,42.4,44.8,44.8,896,117.2,105011.2,10,10501.12,Inshore
20-Apr,26,Control,A,26.8,32.4,34.6,31.26666667,625.3333333,111.2,69537.06667,10,6953.706667,Offshore
20-Apr,26,Control,B,49,40.8,46.6,45.46666667,909.3333333,116.6,106028.2667,10,10602.82667,Offshore
20-Apr,26,Control,C,40,46.2,40.4,42.2,844,125.5,105922,10,10592.2,Offshore
20-Apr,26,Heat,D,9.555555556,7.777777778,7.666666667,8.333333333,166.6666667,105,17500,9,1944.444444,Offshore
20-Apr,26,Heat,E,28.4,23,32.2,27.86666667,557.3333333,105,58520,10,5852,Offshore
20-Apr,26,Heat,F,88.6,79.2,72.4,80.06666667,1601.333333,113.2,181270.9333,10,18127.09333,Offshore
20-Apr,27,Control,A,29.8,34.4,39,34.4,688,117.4,80771.2,10,8077.12,Offshore
20-Apr,27,Control,B,34.6,36.8,40.8,37.4,748,132.2,98885.6,10,9888.56,Offshore
20-Apr,27,Control,C,36,35.2,46,39.06666667,781.3333333,121.8,95166.4,9,10574.04444,Offshore
20-Apr,27,Heat,D,18,13.8,13.2,15,300,116.1,34830,10,3483,Offshore
20-Apr,27,Heat,E,25.6,20.8,25.8,24.06666667,481.3333333,126.8,61033.06667,7,8719.009524,Offshore
20-Apr,27,Heat,F,29.2,20.8,23.4,24.46666667,489.3333333,119.4,58426.4,9,6491.822222,Offshore
20-Apr,28,Control,A,16.2,13.8,17.4,15.8,316,115.2,36403.2,10,3640.32,Offshore
20-Apr,28,Control,B,21.6,20.6,24.8,22.33333333,446.6666667,118.8,53064,10,5306.4,Offshore
20-Apr,28,Control,C,15,18.4,17.6,17,340,105,35700,10,3570,Offshore
20-Apr,28,Heat,D,9,9,6.333333333,8.111111111,162.2222222,123.8,20083.11111,10,2008.311111,Offshore
20-Apr,28,Heat,E,27.2,24.2,29.6,27,540,119,64260,10,6426,Offshore
20-Apr,28,Heat,F,36.4,29.4,31,32.26666667,645.3333333,123.2,79505.06667,10,7950.506667,Offshore
20-Apr,29,Control,A,42.4,39,57.6,46.33333333,926.6666667,108.2,100265.3333,10,10026.53333,Offshore
20-Apr,29,Control,B,68.8,86,88.4,81.06666667,1621.333333,109.4,177373.8667,7,25339.12381,Offshore
20-Apr,29,Heat,D,28.8,27.8,36.4,31,620,131.7,81654,10,8165.4,Offshore
20-Apr,29,Heat,E,49.4,65.4,71.6,62.13333333,1242.666667,121.8,151356.8,10,15135.68,Offshore
20-Apr,29,Heat,F,58.6,71.8,82.8,71.06666667,1421.333333,110,156346.6667,10,15634.66667,Offshore
